s	label	mindatid
gsmin:cavansite	Cavansite	921
gsmin:cavoite	Cavoite	26440
gsmin:cayalsite-y	Cayalsite-(Y)	42752
gsmin:caysichite-y	Caysichite-(Y)	922
gsmin:cebaite-ce	Cebaite-(Ce)	923
gsmin:cebollite	Cebollite	924
gsmin:celadonite	Celadonite	926
gsmin:celadonitefamily	Celadonite family	53390
gsmin:celestine	Celestine	927
gsmin:celsian	Celsian	928
gsmin:cerchiaraite-fe	Cerchiaraite-(Fe)	42782
gsmin:cerchiaraite-mn	Cerchiaraite-(Mn)	7081
gsmin:cerianite-ce	Cerianite-(Ce)	929
gsmin:cerite-ce	Cerite-(Ce)	930
gsmin:cerite-la	Cerite-(La)	26408
gsmin:cernyite	Cernýite	1210
gsmin:ceruleite	Ceruleite	933
gsmin:cerussite	Cerussite	934
gsmin:cervantite	Cervantite	936
gsmin:cervelleite	Cervelleite	937
gsmin:cesanite	Cesanite	938
gsmin:cesbronite	Cesbronite	940
gsmin:cesplumtantite	Cesplumtantite	941
gsmin:cesarolite	Cesàrolite	939
gsmin:cetineite	Cetineite	943
gsmin:chabazite-ca	Chabazite-Ca	6854
gsmin:chabazite-k	Chabazite-K	6855
gsmin:chabazite-mg	Chabazite-Mg	40012
gsmin:chabazite-na	Chabazite-Na	6856
gsmin:chabazite-sr	Chabazite-Sr	6857
gsmin:chabourneite	Chabournéite	957
gsmin:chadwickite	Chadwickite	6858
gsmin:chaidamuite	Chaidamuite	958
gsmin:chalcanthite	Chalcanthite	959
gsmin:chalcoalumite	Chalcoalumite	961
gsmin:chalcocite	Chalcocite	962
gsmin:chalcocyanite	Chalcocyanite	963
gsmin:chalcomenite	Chalcomenite	949
gsmin:chalconatronite	Chalconatronite	954
gsmin:chalcophanite	Chalcophanite	947
gsmin:chalcophyllite	Chalcophyllite	979
gsmin:chalcopyrite	Chalcopyrite	955
gsmin:chalcosiderite	Chalcosiderite	945
gsmin:chalcostibite	Chalcostibite	983
gsmin:chalcothallite	Chalcothallite	978
gsmin:challacolloite	Challacolloite	27422
gsmin:chambersite	Chambersite	966
gsmin:chamosite	Chamosite	967
gsmin:chameanite	Chaméanite	965
gsmin:changbaiite	Changbaiite	968
gsmin:changchengite	Changchengite	6860
gsmin:changoite	Changoite	6861
gsmin:chantalite	Chantalite	969
gsmin:chaoite	Chaoite	1207
gsmin:chapmanite	Chapmanite	970
gsmin:charlesite	Charlesite	971
gsmin:charmarite	Charmarite	7582
gsmin:charoite	Charoite	972
gsmin:chatkalite	Chatkalite	973
gsmin:chayesite	Chayesite	974
gsmin:chegemite	Chegemite	39004
gsmin:chekhovichite	Chekhovichite	984
gsmin:chelkarite	Chelkarite	985
gsmin:chenevixite	Chenevixite	986
gsmin:chengdeite	Chengdeite	1208
gsmin:chenguodaite	Chenguodaite	28953
gsmin:chenite	Chenite	987
gsmin:cheralite	Cheralite	686
gsmin:cheremnykhite	Cheremnykhite	989
gsmin:cherepanovite	Cherepanovite	990
gsmin:chernikovite	Chernikovite	991
gsmin:chernovite-y	Chernovite-(Y)	992
gsmin:chernykhite	Chernykhite	993
gsmin:chervetite	Chervetite	995
gsmin:chesnokovite	Chesnokovite	29135
gsmin:chessexite	Chessexite	996
gsmin:chesterite	Chesterite	997
gsmin:chestermanite	Chestermanite	998
gsmin:chevkinite-ce	Chevkinite-(Ce)	6867
gsmin:chiavennite	Chiavennite	1002
gsmin:chibaite	Chibaite	39335
gsmin:childrenite	Childrenite	1003
gsmin:chiluite	Chiluite	1004
gsmin:chiolite	Chiolite	1006
gsmin:chistyakovaite	Chistyakovaite	27416
gsmin:chivruaiite	Chivruaiite	27495
gsmin:chkalovite	Chkalovite	1007
gsmin:chladniite	Chladniite	1008
gsmin:chloraluminite	Chloraluminite	1012
gsmin:chlorapatite	Chlorapatite	1013
gsmin:chlorargyrite	Chlorargyrite	1014
gsmin:chlorartinite	Chlorartinite	6868
gsmin:chlorbartonite	Chlorbartonite	27207
gsmin:chloritegroup	Chlorite group	1016
gsmin:chloritoid	Chloritoid	1017
gsmin:chlormagaluminite	Chlormagaluminite	1018
gsmin:chlormanganokalite	Chlormanganokalite	1019
gsmin:chlorocalcite	Chlorocalcite	1020
gsmin:chloromenite	Chloromenite	6869
gsmin:chlorophoenicite	Chlorophoenicite	946
gsmin:chlorothionite	Chlorothionite	982
gsmin:chloroxiphite	Chloroxiphite	953
gsmin:choloalite	Choloalite	1026
gsmin:chondrodite	Chondrodite	1027
gsmin:chopinite	Chopinite	29096
gsmin:chovanite	Chovanite	39970
gsmin:chrisstanleyite	Chrisstanleyite	1028
gsmin:christelite	Christelite	6870
gsmin:christite	Christite	1029
gsmin:christofschaferite-ce	Christofschäferite-(Ce)	42733
gsmin:chromatite	Chromatite	1030
gsmin:chrombismite	Chrombismite	6871
gsmin:chromceladonite	Chromceladonite	7091
gsmin:chromferide	Chromferide	1035
gsmin:chromite	Chromite	1036
gsmin:chromium	Chromium	1037
gsmin:chromium-dravite	Chromium-dravite	1031
gsmin:chromo-alumino-povondraite	Chromo-alumino-povondraite	39891
gsmin:chromphyllite	Chromphyllite	6872
gsmin:chromschieffelinite	Chromschieffelinite	41959
gsmin:chrysoberyl	Chrysoberyl	1039
gsmin:chrysocolla	Chrysocolla	1040
gsmin:chrysotile	Chrysotile	975
gsmin:chudobaite	Chudobaite	1043
gsmin:chukhrovite-ce	Chukhrovite-(Ce)	1044
gsmin:chukhrovite-y	Chukhrovite-(Y)	1045
gsmin:churchite-y	Churchite-(Y)	1047
gsmin:chursinite	Chursinite	1048
gsmin:chvaleticeite	Chvaleticeite	1049
gsmin:chvilevaite	Chvilevaite	1050
gsmin:cianciulliite	Cianciulliite	1051
gsmin:cinnabar	Cinnabar	1052
gsmin:ciprianiite	Ciprianiite	10799
gsmin:clairite	Clairite	1056
gsmin:claraite	Claraite	1057
gsmin:claringbullite	Claringbullite	1058
gsmin:clarkeite	Clarkeite	1059
gsmin:claudetite	Claudetite	1060
gsmin:clausthalite	Clausthalite	1061
gsmin:claymineral	Clay Mineral	49430
gsmin:clearcreekite	Clearcreekite	7073
gsmin:clerite	Clerite	6876
gsmin:cleusonite	Cleusonite	26262
gsmin:cliffordite	Cliffordite	1064
gsmin:clinoatacamite	Clinoatacamite	1065
gsmin:clinobehoite	Clinobehoite	1066
gsmin:clinobisvanite	Clinobisvanite	1067
gsmin:clinocervantite	Clinocervantite	6879
gsmin:clinochlore	Clinochlore	1070
gsmin:clinoclase	Clinoclase	1055
gsmin:clinoenstatite	Clinoenstatite	1072
gsmin:clinoferrosilite	Clinoferrosilite	1073
gsmin:clinohedrite	Clinohedrite	1075
gsmin:clinohumite	Clinohumite	1077
gsmin:clinojimthompsonite	Clinojimthompsonite	1078
gsmin:clinokurchatovite	Clinokurchatovite	1079
gsmin:clinometaborite	Clinometaborite	40567
gsmin:clinophosinaite	Clinophosinaite	1081
gsmin:clinoptilolite-ca	Clinoptilolite-Ca	6882
gsmin:clinoptilolite-k	Clinoptilolite-K	6883
gsmin:clinoptilolite-na	Clinoptilolite-Na	6884
gsmin:clinosafflorite	Clinosafflorite	1083
gsmin:clinotobermorite	Clinotobermorite	1084
gsmin:clinoungemachite	Clinoungemachite	1086
gsmin:clinozoisite	Clinozoisite	1087
gsmin:clintonite	Clintonite	1088
gsmin:cloncurryite	Cloncurryite	29262
gsmin:coalingite	Coalingite	1095
gsmin:cobaltarthurite	Cobaltarthurite	11113
gsmin:cobaltaustinite	Cobaltaustinite	1099
gsmin:cobaltite	Cobaltite	1093
gsmin:cobaltkieserite	Cobaltkieserite	26414
gsmin:cobaltkoritnigite	Cobaltkoritnigite	1091
gsmin:cobaltlotharmeyerite	Cobaltlotharmeyerite	6885
gsmin:cobaltneustadtelite	Cobaltneustädtelite	11015
gsmin:cobaltoblodite	Cobaltoblödite	43582
gsmin:cobaltomenite	Cobaltomenite	1092
gsmin:cobaltpentlandite	Cobaltpentlandite	1097
gsmin:cobalttsumcorite	Cobalttsumcorite	7095
gsmin:cobaltzippeite	Cobaltzippeite	1098
gsmin:coccinite	Coccinite	1100
gsmin:cochromite	Cochromite	1101
gsmin:coconinoite	Coconinoite	1102
gsmin:coesite	Coesite	1104
gsmin:coffinite	Coffinite	1106
gsmin:cohenite	Cohenite	1107
gsmin:coiraite	Coiraite	27610
gsmin:colemanite	Colemanite	1108
gsmin:colimaite	Colimaite	35575
gsmin:colinowensite	Colinowensite	43366
gsmin:collinsite	Collinsite	1109
gsmin:coloradoite	Coloradoite	1110
gsmin:colquiriite	Colquiriite	1111
gsmin:columbite-fe	Columbite-(Fe)	1111
gsmin:columbite-mg	Columbite-(Mg)	2541
gsmin:columbite-mn	Columbite-(Mn)	2520
gsmin:colusite	Colusite	1113
gsmin:comancheite	Comancheite	1114
gsmin:combeite	Combeite	1115
gsmin:comblainite	Comblainite	1116
gsmin:compreignacite	Compreignacite	1117
gsmin:congolite	Congolite	1118
gsmin:conichalcite	Conichalcite	1119
gsmin:connellite	Connellite	1120
gsmin:cookeite	Cookeite	1121
gsmin:coombsite	Coombsite	1122
gsmin:cooperite	Cooperite	1123
gsmin:coparsite	Coparsite	6889
gsmin:copiapite	Copiapite	1124
gsmin:copper	Copper	1209
gsmin:coquandite	Coquandite	1125
gsmin:coquimbite	Coquimbite	1126
gsmin:coralloite	Coralloite	40140
gsmin:corderoite	Corderoite	1127
gsmin:cordierite	Cordierite	1128
gsmin:corkite	Corkite	1130
gsmin:cornetite	Cornetite	1131
gsmin:cornubite	Cornubite	1132
gsmin:cornwallite	Cornwallite	1133
gsmin:coronadite	Coronadite	1134
gsmin:corrensite	Corrensite	1135
gsmin:corundum	Corundum	1136
gsmin:corvusite	Corvusite	1138
gsmin:cosalite	Cosalite	1139
gsmin:coskrenite-ce	Coskrenite-(Ce)	6890
gsmin:cossaite	Cossaite	39568
gsmin:costibite	Costibite	1140
gsmin:cotunnite	Cotunnite	1141
gsmin:coulsonite	Coulsonite	1142
gsmin:cousinite	Cousinite	1143
gsmin:coutinhoite	Coutinhoite	26529
gsmin:covellite	Covellite	1144
gsmin:cowlesite	Cowlesite	1145
gsmin:coyoteite	Coyoteite	1146
gsmin:crandallite	Crandallite	1147
gsmin:cranswickite	Cranswickite	40267
gsmin:crawfordite	Crawfordite	1148
gsmin:creaseyite	Creaseyite	1149
gsmin:crednerite	Crednerite	1150
gsmin:creedite	Creedite	1151
gsmin:crerarite	Crerarite	6891
gsmin:crichtonite	Crichtonite	1153
gsmin:criddleite	Criddleite	1154
gsmin:cristobalite	Cristobalite	1155
gsmin:crocoite	Crocoite	1157
gsmin:cronstedtite	Cronstedtite	1158
gsmin:crookesite	Crookesite	1159
gsmin:cryolite	Cryolite	1161
gsmin:cryolithionite	Cryolithionite	1162
gsmin:cryptohalite	Cryptohalite	1163
gsmin:cryptomelane	Cryptomelane	1164
gsmin:cryptophyllite	Cryptophyllite	39306
gsmin:cualstibite	Cualstibite	1167
gsmin:cubanite	Cubanite	1168
gsmin:cuboargyrite	Cuboargyrite	6893
gsmin:cumengeite	Cumengeite	6894
gsmin:cummingtonite	Cummingtonite	1170
gsmin:cuprite	Cuprite	1172
gsmin:cuprobismutite	Cuprobismutite	1177
gsmin:cuprocopiapite	Cuprocopiapite	1181
gsmin:cuproiridsite	Cuproiridsite	1186
gsmin:cuprokalininite	Cuprokalininite	40142
gsmin:cupromakopavonite	Cupromakopavonite	28892
gsmin:cupromakovickyite	Cupromakovickyite	26457
gsmin:cupromolybdite	Cupromolybdite	41953
gsmin:cuproneyite	Cuproneyite	39287
gsmin:cupropavonite	Cupropavonite	1187
gsmin:cupropearceite	Cupropearceite	35576
gsmin:cupropolybasite	Cupropolybasite	35952
gsmin:cuprorhodsite	Cuprorhodsite	1188
gsmin:cuprorivaite	Cuprorivaite	1189
gsmin:cuprosklodowskite	Cuprosklodowskite	1191
gsmin:cuprospinel	Cuprospinel	1192
gsmin:cuprostibite	Cuprostibite	1193
gsmin:cuprotungstite	Cuprotungstite	1194
gsmin:curetonite	Curetonite	1195
gsmin:curienite	Curienite	1196
gsmin:curite	Curite	1197
gsmin:cuspidine	Cuspidine	1198
gsmin:cuzticite	Cuzticite	1199
gsmin:cyanochroite	Cyanochroite	1200
gsmin:cyanotrichite	Cyanotrichite	1203
gsmin:cylindrite	Cylindrite	1204
gsmin:cymrite	Cymrite	1205
gsmin:cyrilovite	Cyrilovite	1206
gsmin:camaraite	Cámaraite	39451
gsmin:dansite-mn	D'ansite-(Mn)	42846
gsmin:dachiardite-ca	Dachiardite-Ca	6895
gsmin:dachiardite-na	Dachiardite-Na	6896
gsmin:dadsonite	Dadsonite	1213
gsmin:dalnegroite	Dalnegroite	39758
gsmin:dalyite	Dalyite	1214
gsmin:damaraite	Damaraite	1215
gsmin:damiaoite	Damiaoite	6897
gsmin:danalite	Danalite	1341
gsmin:danbaite	Danbaite	1217
gsmin:danburite	Danburite	1218
gsmin:danielsite	Danielsite	1219
gsmin:dantopaite	Dantopaite	39325
gsmin:daomanite	Daomanite	1222
gsmin:daqingshanite-ce	Daqingshanite-(Ce)	1224
gsmin:darapskite	Darapskite	1226
gsmin:darrellhenryite	Darrellhenryite	43340
gsmin:dashkovaite	Dashkovaite	10175
gsmin:datolite	Datolite	1340
gsmin:daubreeite	Daubréeite	1229
gsmin:daubreelite	Daubréelite	1230
gsmin:davanite	Davanite	1231
gsmin:davidite-la	Davidite-(La)	1234
gsmin:davidlloydite	Davidlloydite	42229
gsmin:davinciite	Davinciite	42815
gsmin:davreuxite	Davreuxite	1237
gsmin:davyne	Davyne	1238
gsmin:dawsonite	Dawsonite	1240
gsmin:deanesmithite	Deanesmithite	1242
gsmin:debattistiite	Debattistiite	42726
gsmin:decrespignyite-y	Decrespignyite-(Y)	9294
gsmin:deerite	Deerite	1245
gsmin:defernite	Defernite	1246
gsmin:delafossite	Delafossite	1248
gsmin:delhayelite	Delhayelite	1251
gsmin:deliensite	Deliensite	6899
gsmin:delindeite	Delindeite	1252
gsmin:dellaite	Dellaite	1253
gsmin:deloneite	Deloneite	6900
gsmin:deloryite	Deloryite	1254
gsmin:delrioite	Delrioite	1255
gsmin:delvauxite	Delvauxite	1257
gsmin:demartinite	Demartinite	30908
gsmin:demesmaekerite	Demesmaekerite	1259
gsmin:demicheleite-cl	Demicheleite-(Cl)	38694
gsmin:demicheleite-i	Demicheleite-(I)	39683
gsmin:denisovite	Denisovite	1261
gsmin:denningite	Denningite	1262
gsmin:depmeierite	Depmeierite	39787
gsmin:derbylite	Derbylite	1263
gsmin:derriksite	Derriksite	1264
gsmin:dervillite	Dervillite	1265
gsmin:desautelsite	Desautelsite	1266
gsmin:descloizite	Descloizite	1267
gsmin:despujolsite	Despujolsite	1269
gsmin:dessauite-y	Dessauite-(Y)	6902
gsmin:destinezite	Destinezite	5222
gsmin:devilline	Devilline	1270
gsmin:devitoite	Devitoite	39450
gsmin:dewindtite	Dewindtite	1273
gsmin:diaboleite	Diaboleite	1276
gsmin:diadochite	Diadochite	1279
gsmin:diamond	Diamond	1282
gsmin:diaoyudaoite	Diaoyudaoite	1283
gsmin:diaphorite	Diaphorite	1284
gsmin:diaspore	Diaspore	1285
gsmin:dickinsonite-kmnna	Dickinsonite-(KMnNa)	1286
gsmin:dickite	Dickite	1287
gsmin:dickthomssenite	Dickthomssenite	11216
gsmin:dietrichite	Dietrichite	1289
gsmin:dietzeite	Dietzeite	1290
gsmin:digenite	Digenite	1291
gsmin:dimorphite	Dimorphite	1292
gsmin:dingdaohengite-ce	Dingdaohengite-(Ce)	27437
gsmin:dinite	Dinite	6904
gsmin:diopside	Diopside	1294
gsmin:dioptase	Dioptase	1295
gsmin:direnzoite	Direnzoite	31408
gsmin:dissakisite-la	Dissakisite-(La)	27401
gsmin:disulfodadsonite	Disulfodadsonite	42857
gsmin:dittmarite	Dittmarite	1297
gsmin:diversilite-ce	Diversilite-(Ce)	11518
gsmin:dixenite	Dixenite	1298
gsmin:djerfisherite	Djerfisherite	1299
gsmin:djurleite	Djurleite	1300
gsmin:dmisteinbergite	Dmisteinbergite	1301
gsmin:dolerophanite	Dolerophanite	1302
gsmin:dollaseite-ce	Dollaseite-(Ce)	1303
gsmin:dolomite	Dolomite	1304
gsmin:doloresite	Doloresite	1305
gsmin:domerockite	Domerockite	39551
gsmin:domeykite	Domeykite	1306
gsmin:donbassite	Donbassite	6905
gsmin:donharrisite	Donharrisite	1308
gsmin:donnayite-y	Donnayite-(Y)	1309
gsmin:donpeacorite	Donpeacorite	1310
gsmin:dorallcharite	Dorallcharite	1311
gsmin:dorfmanite	Dorfmanite	1312
gsmin:dorrite	Dorrite	1313
gsmin:douglasite	Douglasite	1314
gsmin:dovyrenite	Dovyrenite	31589
gsmin:downeyite	Downeyite	1315
gsmin:doyleite	Doyleite	1316
gsmin:dozyite	Dozyite	1317
gsmin:dravite	Dravite	1318
gsmin:dresserite	Dresserite	1319
gsmin:dreyerite	Dreyerite	1320
gsmin:drobecite	Drobecite	26376
gsmin:drugmanite	Drugmanite	1321
gsmin:drysdallite	Drysdallite	1322
gsmin:dualite	Dualite	27578
gsmin:dufrenite	Dufrénite	1323
gsmin:dufrenoysite	Dufrénoysite	1324
gsmin:duftite	Duftite	1325
gsmin:dugganite	Dugganite	1326
gsmin:dukeite	Dukeite	7089
gsmin:dumontite	Dumontite	1328
gsmin:dumortierite	Dumortierite	1329
gsmin:dundasite	Dundasite	1330
gsmin:durangite	Durangite	1332
gsmin:duranusite	Duranusite	1333
gsmin:dusmatovite	Dusmatovite	6906
gsmin:dussertite	Dussertite	1334
gsmin:duttonite	Duttonite	1335
gsmin:dwornikite	Dwornikite	1336
gsmin:dymkovite	Dymkovite	43272
gsmin:dypingite	Dypingite	1338
gsmin:dyscrasite	Dyscrasite	1342
gsmin:dzhalindite	Dzhalindite	1339
gsmin:dzharkenite	Dzharkenite	6907
gsmin:dzierzanowskite	Dzier?anowskite	46172
gsmin:eakerite	Eakerite	1343
gsmin:earlandite	Earlandite	1344
gsmin:earlshannonite	Earlshannonite	1345
gsmin:eastonite	Eastonite	6909
gsmin:ecandrewsite	Ecandrewsite	1346
gsmin:ecdemite	Ecdemite	1363
gsmin:eckermannite	Eckermannite	1348
gsmin:eclarite	Eclarite	1349
gsmin:edenharterite	Edenharterite	1350
gsmin:edenite	Edenite	1351
gsmin:edgarbaileyite	Edgarbaileyite	1352
gsmin:edgarite	Edgarite	6910
gsmin:edgrewite	Edgrewite	42491
gsmin:edingtonite	Edingtonite	1353
gsmin:edoylerite	Edoylerite	1354
gsmin:edwardsite	Edwardsite	39682
gsmin:effenbergerite	Effenbergerite	6911
gsmin:efremovite	Efremovite	1355
gsmin:eggletonite	Eggletonite	1356
gsmin:eglestonite	Eglestonite	1357
gsmin:ehrleite	Ehrleite	1358
gsmin:eifelite	Eifelite	1359
gsmin:eirikite	Eirikite	36060
gsmin:eitelite	Eitelite	1360
gsmin:ekanite	Ekanite	1361
gsmin:ekaterinite	Ekaterinite	1362
gsmin:ekatite	Ekatite	7049
gsmin:ekplexite	Ekplexite	42864
gsmin:elbaite	Elbaite	1364
gsmin:eldfellite	Eldfellite	35791
gsmin:eldragonite	Eldragónite	41901
gsmin:eliseevite	Eliseevite	40287
gsmin:ellenbergerite	Ellenbergerite	1366
gsmin:ellingsenite	Ellingsenite	39667
gsmin:ellisite	Ellisite	1368
gsmin:elpasolite	Elpasolite	1369
gsmin:elpidite	Elpidite	1370
gsmin:eltyubyuite	Eltyubyuite	42818
gsmin:elyite	Elyite	1371
gsmin:embreyite	Embreyite	1373
gsmin:emeleusite	Emeleusite	1374
gsmin:emilite	Emilite	5287
gsmin:emmonsite	Emmonsite	1377
gsmin:emplectite	Emplectite	1378
gsmin:empressite	Empressite	1379
gsmin:enargite	Enargite	1380
gsmin:englishite	Englishite	1383
gsmin:enstatite	Enstatite	1384
gsmin:eosphorite	Eosphorite	1386
gsmin:ephesite	Ephesite	1387
gsmin:epididymite	Epididymite	1388
gsmin:epidote	Epidote	1389
gsmin:epidote-sr	Epidote-(Sr)	31558
gsmin:epistilbite	Epistilbite	1391
gsmin:epistolite	Epistolite	1392
gsmin:epsomite	Epsomite	1393
gsmin:ercitite	Ercitite	7101
gsmin:erdite	Erdite	1394
gsmin:ericaite	Ericaite	1396
gsmin:ericssonite	Ericssonite	1397
gsmin:erikapohlite	Erikapohlite	43323
gsmin:eringaite	Eringaite	40003
gsmin:eriochalcite	Eriochalcite	1398
gsmin:erionite-ca	Erionite-Ca	6915
gsmin:erionite-k	Erionite-K	6916
gsmin:erionite-na	Erionite-Na	6917
gsmin:erlianite	Erlianite	1400
gsmin:erlichmanite	Erlichmanite	1401
gsmin:ernienickelite	Ernienickelite	1402
gsmin:erniggliite	Erniggliite	1403
gsmin:ernstburkeite	Ernstburkeite	41897
gsmin:ernstite	Ernstite	1404
gsmin:ershovite	Ershovite	1405
gsmin:ertixiite	Ertixiite	1406
gsmin:erythrite	Erythrite	1407
gsmin:erythrosiderite	Erythrosiderite	1408
gsmin:erzwiesite	Erzwiesite	43602
gsmin:eskebornite	Eskebornite	1409
gsmin:eskimoite	Eskimoite	1410
gsmin:eskolaite	Eskolaite	1411
gsmin:esperanzaite	Esperanzaite	6919
gsmin:esperite	Esperite	1412
gsmin:esseneite	Esseneite	1413
gsmin:ettringite	Ettringite	1414
gsmin:eucairite	Eucairite	1415
gsmin:euchlorine	Euchlorine	1416
gsmin:euchroite	Euchroite	1417
gsmin:euclase	Euclase	1418
gsmin:eucryptite	Eucryptite	1419
gsmin:eudialyte	Eudialyte	1420
gsmin:eudidymite	Eudidymite	1421
gsmin:eugenite	Eugenite	1422
gsmin:eugsterite	Eugsterite	1423
gsmin:eulytine	Eulytine	1424
gsmin:eurekadumpite	Eurekadumpite	39785
gsmin:euxenite-y	Euxenite-(Y)	1425
gsmin:evansite	Evansite	1426
gsmin:eveite	Eveite	1427
gsmin:evenkite	Evenkite	1428
gsmin:eveslogite	Eveslogite	27104
gsmin:ewaldite	Ewaldite	1429
gsmin:eylettersite	Eylettersite	1430
gsmin:eyselite	Eyselite	27221
gsmin:ezcurrite	Ezcurrite	1431
gsmin:eztlite	Eztlite	1432
gsmin:fabianite	Fabianite	1433
gsmin:fabriesite	Fabrièsite	43600
gsmin:faheyite	Faheyite	1435
gsmin:fahleite	Fahleite	1436
gsmin:fairbankite	Fairbankite	1439
gsmin:fairchildite	Fairchildite	1442
gsmin:fairfieldite	Fairfieldite	1443
gsmin:faizievite	Faizievite	31306
gsmin:falcondoite	Falcondoite	1444
gsmin:falkmanite	Falkmanite	1446
gsmin:falsterite	Falsterite	42463
gsmin:famatinite	Famatinite	1451
gsmin:fangite	Fangite	1452
gsmin:fantappieite	Fantappièite	35970
gsmin:farneseite	Farneseite	27489
gsmin:farringtonite	Farringtonite	1456
gsmin:fassinaite	Fassinaite	40169
gsmin:faujasite-ca	Faujasite-Ca	6920
gsmin:faujasite-mg	Faujasite-Mg	6921
gsmin:faujasite-na	Faujasite-Na	6922
gsmin:faustite	Faustite	1623
gsmin:fayalite	Fayalite	1458
gsmin:fedorite	Fedorite	1467
gsmin:fedorovskite	Fedorovskite	1468
gsmin:fedotovite	Fedotovite	1469
gsmin:feinglosite	Feinglosite	6923
gsmin:feitknechtite	Feitknechtite	1473
gsmin:feklichevite	Feklichevite	11029
gsmin:felbertalite	Felbertalite	10999
gsmin:feldspar	Feldspar	1624
gsmin:felsobanyaite	Felsobányaite	1474
gsmin:fenaksite	Fenaksite	1475
gsmin:fencooperite	Fencooperite	10343
gsmin:fengchengite	Fengchengite	42378
gsmin:ferberite	Ferberite	1476
gsmin:ferchromide	Ferchromide	1477
gsmin:ferdowsiite	Ferdowsiite	43594
gsmin:fergusonite-y	Fergusonite-(Y)	1480
gsmin:fernandinite	Fernandinite	1483
gsmin:feroxyhyte	Feroxyhyte	1484
gsmin:ferrarisite	Ferrarisite	1485
gsmin:ferriallanite-la	Ferriallanite-(La)	39528
gsmin:ferricopiapite	Ferricopiapite	1490
gsmin:ferrierite-k	Ferrierite-K	6930
gsmin:ferrierite-mg	Ferrierite-Mg	6931
gsmin:ferrierite-na	Ferrierite-Na	6932
gsmin:ferrihollandite	Ferrihollandite	43558
gsmin:ferrihydrite	Ferrihydrite	1493
gsmin:ferrilotharmeyerite	Ferrilotharmeyerite	1495
gsmin:ferrimolybdite	Ferrimolybdite	1496
gsmin:ferrinatrite	Ferrinatrite	1497
gsmin:ferripyrophyllite	Ferripyrophyllite	1498
gsmin:ferrisepiolite	Ferrisepiolite	41139
gsmin:ferrisicklerite	Ferrisicklerite	1499
gsmin:ferristrunzite	Ferristrunzite	1500
gsmin:ferrisurite	Ferrisurite	1501
gsmin:ferrisymplesite	Ferrisymplesite	1502
gsmin:ferro-actinolite	Ferro-actinolite	1505
gsmin:ferro-anthophyllite	Ferro-anthophyllite	1464
gsmin:ferro-edenite	Ferro-edenite	1472
gsmin:ferro-ferri-nyboite	Ferro-ferri-nybøite	6926
gsmin:ferro-ferri-pedrizite	Ferro-ferri-pedrizite	30915
gsmin:ferro-taramite	Ferro-taramite	106
gsmin:ferroalluaudite	Ferroalluaudite	1507
gsmin:ferroaluminoceladonite	Ferroaluminoceladonite	6933
gsmin:ferrobustamite	Ferrobustamite	1511
gsmin:ferrocarpholite	Ferrocarpholite	1512
gsmin:ferroceladonite	Ferroceladonite	6935
gsmin:ferroericssonite	Ferroericssonite	40566
gsmin:ferrohexahydrite	Ferrohexahydrite	1517
gsmin:ferrohogbomite-2n2s	Ferrohögbomite-2N2S	11114
gsmin:ferrokentbrooksite	Ferrokentbrooksite	7106
gsmin:ferrokinoshitalite	Ferrokinoshitalite	6938
gsmin:ferrokesterite	Ferrokësterite	1522
gsmin:ferrolaueite	Ferrolaueite	6939
gsmin:ferronickelplatinum	Ferronickelplatinum	1523
gsmin:ferronigerite-2n1s	Ferronigerite-2N1S	2903
gsmin:ferronigerite-6n6s	Ferronigerite-6N6S	11451
gsmin:ferronordite-la	Ferronordite-(La)	11208
gsmin:ferrorosemaryite	Ferrorosemaryite	27542
gsmin:ferrosaponite	Ferrosaponite	29079
gsmin:ferroselite	Ferroselite	1527
gsmin:ferrosilite	Ferrosilite	1528
gsmin:ferroskutterudite	Ferroskutterudite	30906
gsmin:ferrostrunzite	Ferrostrunzite	1529
gsmin:ferrotaaffeite-2n2s	Ferrotaaffeite-2N'2S	42821
gsmin:ferrotaaffeite-6n3s	Ferrotaaffeite-6N'3S	3142
gsmin:ferrotitanowodginite	Ferrotitanowodginite	6944
gsmin:ferrotochilinite	Ferrotochilinite	41905
gsmin:ferrotychite	Ferrotychite	1533
gsmin:ferrovalleriite	Ferrovalleriite	42850
gsmin:ferrowodginite	Ferrowodginite	1535
gsmin:ferrowyllieite	Ferrowyllieite	1536
gsmin:ferruccite	Ferruccite	1537
gsmin:fersmanite	Fersmanite	1538
gsmin:fersmite	Fersmite	1539
gsmin:feruvite	Feruvite	1540
gsmin:fervanite	Fervanite	1541
gsmin:fetiasite	Fetiasite	1542
gsmin:fettelite	Fettelite	1543
gsmin:fianelite	Fianelite	6946
gsmin:fibroferrite	Fibroferrite	1544
gsmin:fichtelite	Fichtelite	1545
gsmin:fiedlerite	Fiedlerite	1547
gsmin:filatovite	Filatovite	26577
gsmin:filipstadite	Filipstadite	1548
gsmin:fillowite	Fillowite	1549
gsmin:fingerite	Fingerite	1550
gsmin:finnemanite	Finnemanite	1551
gsmin:fischesserite	Fischesserite	1552
gsmin:fivegite	Fivegite	39711
gsmin:fizelyite	Fizélyite	1554
gsmin:flagstaffite	Flagstaffite	1555
gsmin:fleischerite	Fleischerite	1556
gsmin:fletcherite	Fletcherite	1557
gsmin:flinkite	Flinkite	1558
