s	label	mindatid
gsmin:ansermetite	Ansermetite	26443
gsmin:antarcticite	Antarcticite	251
gsmin:anthoinite	Anthoinite	252
gsmin:anthonyite	Anthonyite	253
gsmin:anthophyllite	Anthophyllite	254
gsmin:antigorite	Antigorite	260
gsmin:antimonselite	Antimonselite	266
gsmin:antimony	Antimony	262
gsmin:antlerite	Antlerite	268
gsmin:anyuiite	Anyuiite	271
gsmin:apachite	Apachite	272
gsmin:apatitegroup	Apatite group	32275
gsmin:aphthitalite	Aphthitalite	280
gsmin:apjohnite	Apjohnite	281
gsmin:aplowite	Aplowite	282
gsmin:apuanite	Apuanite	285
gsmin:aqualite	Aqualite	27558
gsmin:aragonite	Aragonite	307
gsmin:arakiite	Arakiite	6805
gsmin:aramayoite	Aramayoite	310
gsmin:arangasite	Arangasite	43332
gsmin:arapovite	Arapovite	27530
gsmin:aravaipaite	Aravaipaite	311
gsmin:arcanite	Arcanite	314
gsmin:archerite	Archerite	315
gsmin:arctite	Arctite	316
gsmin:arcubisite	Arcubisite	318
gsmin:ardaite	Ardaite	320
gsmin:ardealite	Ardealite	321
gsmin:ardennite-as	Ardennite-(As)	322
gsmin:ardennite-v	Ardennite-(V)	28893
gsmin:arfvedsonite	Arfvedsonite	325
gsmin:argandite	Argandite	40277
gsmin:argentojarosite	Argentojarosite	290
gsmin:argentopentlandite	Argentopentlandite	291
gsmin:argentopyrite	Argentopyrite	299
gsmin:argentotennantite	Argentotennantite	319
gsmin:argentotetrahedrite	Argentotetrahedrite	10677
gsmin:argesite	Argesite	42369
gsmin:argutite	Argutite	330
gsmin:argyrodite	Argyrodite	331
gsmin:arhbarite	Arhbarite	333
gsmin:arisite-la	Arisite-(La)	39549
gsmin:aristarainite	Aristarainite	334
gsmin:armalcolite	Armalcolite	341
gsmin:armangite	Armangite	342
gsmin:armbrusterite	Armbrusterite	28891
gsmin:armenite	Armenite	343
gsmin:armstrongite	Armstrongite	344
gsmin:arrojadite-kfe	Arrojadite-(KFe)	351
gsmin:arrojadite-kna	Arrojadite-(KNa)	28959
gsmin:arrojadite-pbfe	Arrojadite-(PbFe)	29064
