s	label	def
min:allanite	Allanite	{A12+REE3+}{M3+2M32+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:allanite-ce	Allanite-(Ce)	{CaCe}{Al2Fe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:allanite-la	Allanite-(La)	{CaLa}{Al2Fe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:allanite-nd	Allanite-(Nd)	{CaNd}{Al2Fe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:allanite-y	Allanite-(Y)	{CaY}{Al2Fe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:allanpringite	Allanpringite	Fe3+3(PO4)2(OH)3 · 5H2O Nickel-Strunz 08.DC.50
min:allargentum	Allargentum	(Ag1-xSbx) Nickel-Strunz 02.AA.30
min:alleghanyite	Alleghanyite	Mn2+5(SiO4)2(OH)2 Nickel-Strunz 09.AF.45
min:allendeite	Allendeite	Sc4Zr3O12 Nickel-Strunz 04.CC.
min:allochalcoselite	Allochalcoselite	Cu+PbCu2+5(SeO3)2Cl5O2 Nickel-Strunz 04.JG.40
min:alloclasite	Alloclasite	Co1-xFexAsS Nickel-Strunz 02.EB.10b
min:allophane	Allophane	(Al2O3)(SiO2)1.3-2 · 2.5-3H2O Nickel-Strunz 09.ED.20
min:alloriite	Alloriite	(Na,Ca,K)26Ca4(Al6Si6O24)4(SO4)6Cl6 Nickel-Strunz 09.FB.05
min:alloys	Alloys	Alloys. Nickel-Strunz 02.A
min:alloys-alloys-of-metalloids-with-cu-ag-au	Alloys - Alloys of metalloids with Cu, Ag, Au	Alloys - Alloys of metalloids with Cu, Ag, Au. Nickel-Strunz 02.AA
min:alloys-alloys-of-metalloids-with-pge	Alloys - Alloys of metalloids with PGE	Alloys - Alloys of metalloids with PGE. Nickel-Strunz 02.AC
min:alloys-ni-metalloid-alloys	Alloys - Ni-metalloid alloys	Alloys - Ni-metalloid alloys. Nickel-Strunz 02.AB
min:alluaivite	Alluaivite	Na19(Ca,Mn)6(Ti,Nb)3Si26O74Cl · 2H2O Nickel-Strunz 09.CO.10
min:alluaudite	Alluaudite	(Na,Ca)Mn2+(Fe3+,Mn2+,Fe2+,Mg)2(PO4)3 Nickel-Strunz 08.AC.10
min:almandine	Almandine	Fe2+3Al2(SiO4)3 Nickel-Strunz 09.AD.25
min:almarudite	Almarudite	K(–¡,Na)2(Mn2+,Fe2+,Mg)2(Be,Al)3[Si12O30] Nickel-Strunz 09.CM.05
min:almeidaite	Almeidaite	PbZn2(Mn,Y)(Ti,Fe3+)18O37(OH,O) Nickel-Strunz 04.00.
min:alnaperboeite-ce	Alnaperbøeite-(Ce)	(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2 Nickel-Strunz 09.BG.50 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:alpeite	Alpeite	Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6 Nickel-Strunz 09.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:alpersite	Alpersite	(Mg,Cu)[SO4] · 7H2O Nickel-Strunz 07.CB.35
min:alsakharovite-zn	Alsakharovite-Zn	NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4 · 7H2O Nickel-Strunz 09.CE.30h
min:alstonite	Alstonite	BaCa(CO3)2 Nickel-Strunz 05.AB.35
min:altaite	Altaite	PbTe Nickel-Strunz 02.CD.10
min:alterite	Alterite	Zn2Fe3+4(SO4)4(C2O4)2(OH)4 · 17H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:althausite	Althausite	Mg4(PO4)2(OH,O)(F,˜?) Nickel-Strunz 08.BB.25
min:althupite	Althupite	AlTh(UO2)7(PO4)4(OH)5O2 · 15H2O Nickel-Strunz 08.EC.25
min:altisite	Altisite	Na3K6Ti2Al2Si8O26Cl3 Nickel-Strunz 09.DP.40
min:alum	Alum	(K, Na)Al(SO4)2·12?H2O Nickel-Strunz 07.CC.20
min:alum-k	Alum-(K)	KAl(SO4)2 · 12H2O Nickel-Strunz 07.CC.20
min:alum-na	Alum-(Na)	NaAl(SO4)2 · 12H2O Nickel-Strunz 07.CC.20
min:aluminite	Aluminite	Al2(SO4)(OH)4 · 7H2O Nickel-Strunz 07.DC.05
min:aluminium	Aluminium	Al Nickel-Strunz 01.AA.05
min:alumino-ottoliniite	Alumino-ottoliniite	->>NaLi(Mg3Al2)Si8O22(OH)2 Nickel-Strunz 09.DE.15 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:aluminoceladonite	Aluminoceladonite	K(Mg,Fe2+)Al(Si4O10)(OH)2 Nickel-Strunz 09.EC.15
min:aluminocerite-ce	Aluminocerite-(Ce)	(Ce,La,Ca)9(Al,Fe3+)(SiO4)3(HSiO4)4(OH)3 Nickel-Strunz 09.AG.20
min:aluminocopiapite	Aluminocopiapite	Al2/3Fe3+4(SO4)6(OH)2 · 20H2O Nickel-Strunz 07.DB.35
min:aluminocoquimbite	Aluminocoquimbite	FeAl(SO4)3 · 9H2O Nickel-Strunz 07.CB.50
min:aluminomagnesiohulsite	Aluminomagnesiohulsite	(Mg,Fe2+)2(Al,Mg,Sn)(BO3)O2 Nickel-Strunz 06.AB.45
min:aluminopyracmonite	Aluminopyracmonite	(NH4)3Al(SO4)3 Nickel-Strunz 07.AC.
min:alumoedtollite	Alumoedtollite	K2NaCu5AlO2(AsO4)4 Nickel-Strunz 08.AC.
min:alumohydrocalcite	Alumohydrocalcite	CaAl2(CO3)2(OH)4 · 4H2O Nickel-Strunz 05.DB.05
min:alumoklyuchevskite	Alumoklyuchevskite	K3Cu3(Al,Fe3+)(SO4)4O2 Nickel-Strunz 07.BC.45
min:alumotantite	Alumotantite	AlTaO4 Nickel-Strunz 04.DB.55
min:alumotungstite	Alumotungstite	(H2O,Ca)x(W,Al)2(O,OH)6·nH2O Nickel-Strunz 04.DH.15
min:alumovesuvianite	Alumovesuvianite	Ca19Al(Al10Mg2)Si18O69(OH)9 Nickel-Strunz 09.BG.35 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:alumoakermanite	Alumoåkermanite	(Ca,Na)2(Al,Mg,Fe2+)(Si2O7) Nickel-Strunz 09.BB.10
min:alunite	Alunite	KAl3(SO4)2(OH)6 Nickel-Strunz 07.BC.10
min:alunogen	Alunogen	Al2(SO4)3 · 17H2O Nickel-Strunz 07.CB.45
min:alvanite	Alvanite	(Zn,Ni)Al4(V5+O3)2(OH)12 · 2H2O Nickel-Strunz 08.FE.05
min:alwilkinsite-y	Alwilkinsite-(Y)	Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:amakinite	Amakinite	(Fe2+,Mg)(OH)2 Nickel-Strunz 04.FE.05
min:amamoorite	Amamoorite	CaMn2+2Mn3+(Si2O7)O(OH) Nickel-Strunz 09.BE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:amarantite	Amarantite	Fe3+2(SO4)2O · 7H2O Nickel-Strunz 07.DB.30
min:amarillite	Amarillite	NaFe(SO4)2 · 6H2O Nickel-Strunz 07.CC.75
min:amazonite	Amazonite	K(AlSi3O8) Nickel-Strunz 09.FA.30
min:amber	Amber	(C,H,O) Nickel-Strunz 10.CA.
min:amblygonite	Amblygonite	LiAl(PO4)F Nickel-Strunz 08.BB.05
min:ambrinoite	Ambrinoite	[K,(NH4)]2(As,Sb)6(Sb,As)2S13 · H2O Nickel-Strunz 02.HE.10
