s	label	def
min:kemmlitzite	Kemmlitzite	SrAl3(AsO4)(SO4)(OH)6 Nickel-Strunz 08.BL.05
min:kempite	Kempite	Mn2+2(OH)3Cl Nickel-Strunz 03.DA.10a
min:kenhsuite	Kenhsuite	Hg2+3S2Cl2 Nickel-Strunz 02.FC.15b
min:kenngottite	Kenngottite	Mn2+3Fe3+4(PO4)4(OH)6(H2O)2 Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kenoplumbomicrolite	Kenoplumbomicrolite	(Pb,->>)2Ta2O6(->>,OH,O) Nickel-Strunz 04.DH.15 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kenotobermorite	Kenotobermorite	[Ca4Si6O15(OH)2·2H2O]·3H2O Nickel-Strunz 09.DG.10 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kentbrooksite	Kentbrooksite	(Na,REE)15(Ca,REE)6(Mn2+,Fe2+)3Zr3Nb[Si25O74]F2 · 2H2O Nickel-Strunz 09.CO.10
min:kentrolite	Kentrolite	Pb2Mn3+2(Si2O7)O2 Nickel-Strunz 09.BE.80
min:kenyaite	Kenyaite	Na2Si22O41(OH)8 · 6H2O Nickel-Strunz 09.HA.10
min:kerimasite	Kerimasite	Ca3Zr2(SiO4)(Fe3+O4)2 Nickel-Strunz 09.AD.25
min:kermesite	Kermesite	Sb2S2O Nickel-Strunz 02.FD.05
min:kernite	Kernite	Na2[B4O6(OH)2] · 3H2O Nickel-Strunz 06.DB.05
min:kerstenite	Kerstenite	Pb(SeO4) Nickel-Strunz 08.00.00
min:kettnerite	Kettnerite	CaBiCO3OF Nickel-Strunz 05.BE.30
min:keutschite	Keutschite	Cu2AgAsS4 Nickel-Strunz 02.KA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:keyite	Keyite	Cu2+3Zn4Cd2(AsO4)6 · 2H2O Nickel-Strunz 08.CA.50
min:keystoneite	Keystoneite	Mg0.5Ni2+Fe3+(Te4+O3)3 · 4.5H2O Nickel-Strunz 04.JM.05
min:khademite	Khademite	Al(SO4)F · 5H2O Nickel-Strunz 07.DB.10
min:khaidarkanite	Khaidarkanite	Na0.34Cu4Al3(OH)14F3 · 2H2O Nickel-Strunz 03.DA.45
min:khamrabaevite	Khamrabaevite	(Ti,V,Fe)C Nickel-Strunz 01.BA.20
min:khanneshite	Khanneshite	(Na,Ca)3(Ba,Sr,Ce,Ca)3(CO3)5 Nickel-Strunz 05.AC.30
min:kharaelakhite	Kharaelakhite	(Cu,Pt,Pb,Fe,Ni)9S8 Nickel-Strunz 02.BB.15
min:khatyrkite	Khatyrkite	(Cu,Zn)Al2 Nickel-Strunz 01.AA.15
min:khesinite	Khesinite	Ca4(Mg3Fe3+9)O4(Fe3+9Si3)O36 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:khibinskite	Khibinskite	K2ZrSi2O7 Nickel-Strunz 09.BC.10
min:khinite	Khinite	Pb2+Cu2+3[Te6+O6](OH)2 Nickel-Strunz 04.FD.30
min:khinite-3t	Khinite-3T	Pb2+Cu2+3Te6+O6(OH)2 Nickel-Strunz 04.FD.30
min:khmaralite	Khmaralite	(Mg,Al,Fe)16[(Al,Si,Be)12O36]O4 Nickel-Strunz 09.DH.50
min:khomyakovite	Khomyakovite	Na12Sr3Ca6Fe3Zr3W[Si25O73](O,OH,H2O)3(OH,Cl)2 Nickel-Strunz 09.CO.10
min:khorixasite	Khorixasite	(Bi0.67–¡0.33)Cu(VO4)(OH) Nickel-Strunz 08.BH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:khrenovite	Khrenovite	Na3Fe3+2(AsO4)3 Nickel-Strunz 04.JA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:khristovite-ce	Khristovite-(Ce)	{CaCe}{MgAlMn2+}(Si2O7)(SiO4)(OH)F Nickel-Strunz 09.BG.05
min:khurayyimite	Khurayyimite	Ca7Zn4(Si2O7)2(OH)10·4H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:khvorovite	Khvorovite	(Pb,Ba,K)4Ca2[Si8B2(Si,B)2O28]F Nickel-Strunz 09.CH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kiddcreekite	Kiddcreekite	Cu6SnWS8 Nickel-Strunz 02.CB.35a
min:kidwellite	Kidwellite	NaFe3+9+x(PO4)6(OH)11 · 3H2O, x = 0.33 Nickel-Strunz 08.DK.20
min:kieftite	Kieftite	CoSb3 Nickel-Strunz 02.EC.05
min:kieserite	Kieserite	MgSO4 · H2O Nickel-Strunz 07.CB.05
min:kihlmanite-ce	Kihlmanite-(Ce)	Ce2TiO2(SiO4)(HCO3)2(H2O) Nickel-Strunz 09.AH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kilchoanite	Kilchoanite	Ca6(SiO4)(Si3O10) Nickel-Strunz 09.BJ.45
min:killalaite	Killalaite	Ca6.4(H0.6Si2O7)2(OH)2 Nickel-Strunz 09.BE.85
min:kimrobinsonite	Kimrobinsonite	(Ta,Nb)(OH)5-2x(O,CO3)x ; x near 1.2 Nickel-Strunz 04.FG.15
min:kimuraite-y	Kimuraite-(Y)	Ca(Y,Nd)2(CO3)4 · 6H2O Nickel-Strunz 05.CC.15
min:kimzeyite	Kimzeyite	Ca3(Zr,Ti)2((Si,Al,Fe3+)O4)3 Nickel-Strunz 09.AD.25
min:kingite	Kingite	Al3(PO4)2F2(OH) · 7H2O Nickel-Strunz 08.DC.47
min:kingsmountite	Kingsmountite	Ca3MnFeAl4(PO4)6(OH)4·12H2O Nickel-Strunz 08.DH.25
min:kingstonite	Kingstonite	(Rh,Ir,Pt)3S4 Nickel-Strunz 02.DA.25
min:kinichilite	Kinichilite	Mg0.5Mn2+Fe3+(Te4+O3)3 · 4.5H2O Nickel-Strunz 04.JM.05
min:kinoite	Kinoite	Ca2Cu2(H2O)2[Si3O10] Nickel-Strunz 09.BH.10
min:kinoshitalite	Kinoshitalite	(Ba,K)(Mg,Mn2+,Al)3(Al2Si2O10)(OH)2 Nickel-Strunz 09.EC.35
min:kintoreite	Kintoreite	PbFe3(PO4)(PO3OH)(OH)6 Nickel-Strunz 08.BL.10
min:kipushite	Kipushite	(Cu,Zn)5Zn(PO4)2(OH)6 · H2O Nickel-Strunz 08.DA.35
min:kircherite	Kircherite	Na5Ca2K(Al6Si6O24)(SO4)2 · 0.33H2O Nickel-Strunz 09.FB.05
min:kirchhoffite	Kirchhoffite	Cs(BSi2O6) Nickel-Strunz 09.GB.05
min:kirkiite	Kirkiite	Pb10Bi3As3S19 Nickel-Strunz 02.JB.30b
min:kirschsteinite	Kirschsteinite	CaFe2+SiO4 Nickel-Strunz 09.AC.05
min:kitagohaite	Kitagohaite	Pt7Cu Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kitaibelite	Kitaibelite	Ag10PbBi30S51 Nickel-Strunz 02.JA.05a
min:kitkaite	Kitkaite	NiTeSe Nickel-Strunz 02.EA.20
min:kittatinnyite	Kittatinnyite	Ca2Mn2Mn(SiO4)2(OH)4 · 9H2O Nickel-Strunz 09.AG.35
min:kivuite	Kivuite	(Th,Ca,Pb)(UO2)4(HPO4)2(OH)8 · 7H2O Nickel-Strunz 08.EC.10
min:kladnoite	Kladnoite	C6H4(CO)2NH Nickel-Strunz 10.CA.25
min:klajite	Klajite	MnCu4(AsO4)2(HAsO4)2 · 9-10H2O Nickel-Strunz 08.CE.30
min:klaprothite	Klaprothite	Na6(UO2)(SO4)4·4H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:klebelsbergite	Klebelsbergite	Sb4O4(SO4)(OH)2 Nickel-Strunz 07.BB.35
min:kleberite	Kleberite	FeTi6O11(OH)5 Nickel-Strunz 04.CB.25
min:kleemanite	Kleemanite	ZnAl2(PO4)2(OH)2 · 3H2O Nickel-Strunz 08.DC.17
min:kleinite	Kleinite	(Hg2N)(Cl,SO4) · nH2O Nickel-Strunz 03.DD.35
min:klockmannite	Klockmannite	CuSe Nickel-Strunz 02.CA.05b
min:klyuchevskite	Klyuchevskite	K3Cu3(Fe3+,Al)(SO4)4O2 Nickel-Strunz 07.BC.45
min:klochite	Klöchite	(–¡Na)KFe2+2Zn3(Si12O30) Nickel-Strunz 09.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:knasibfite	Knasibfite	K3Na4[SiF6]3[BF4] Nickel-Strunz 03.CH.25
min:knorringite	Knorringite	Mg3Cr2(SiO4)3 Nickel-Strunz 09.AD.25
min:koashvite	Koashvite	Na6(Ca,Mn)(Ti,Fe)Si6O18 · H2O Nickel-Strunz 09.CJ.15c
min:kobeite-y	Kobeite-(Y)	(REE,Fe,U)3 Zr(Ti,Nb)3 O12 Nickel-Strunz 04.DG.05
min:kobellite	Kobellite	Pb22Cu4(Bi,Sb)30S69 Nickel-Strunz 02.HB.10a
min:kobokoboite	Kobokoboite	Al6(PO4)4(OH)6 · 11H2O Nickel-Strunz 08.DD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kobyashevite	Kobyashevite	Cu5(SO4)2(OH)6·4H2O Nickel-Strunz 07.D0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kochite	Kochite	Na3Ca2MnZrTi(Si2O7)2OF3 Nickel-Strunz 09.BE.22
min:kochkarite	Kochkarite	PbBi4Te7 Nickel-Strunz 02.GC.40b
min:kochsandorite	Kochsándorite	CaAl2(CO3)2(OH)4 · H2O Nickel-Strunz 05.DB.10
min:koechlinite	Koechlinite	Bi2MoO6 Nickel-Strunz 04.DE.15
min:koenenite	Koenenite	Na4Mg9Al4Cl12(OH)22 Nickel-Strunz 03.BD.25
min:kogarkoite	Kogarkoite	Na3(SO4)F Nickel-Strunz 07.BD.15
min:kojonenite	Kojonenite	Pd7-xSnTe2 (0.3  > x  > 0.8) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kokchetavite	Kokchetavite	K(AlSi3O8) Nickel-Strunz 09.FA.75
min:kokinosite	Kokinosite	Na2Ca2(V10O28)·24H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:koksharovite	Koksharovite	CaMg2Fe3+4(VO4)6 Nickel-Strunz 08.A0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:koktaite	Koktaite	(NH4)2Ca(SO4)2 · H2O Nickel-Strunz 07.CD.35
min:kolarite	Kolarite	PbTeCl2 Nickel-Strunz 03.AA.45
min:kolbeckite	Kolbeckite	ScPO4 · 2H2O Nickel-Strunz 08.CD.05
min:kolfanite	Kolfanite	Ca2Fe3+3O2(AsO4)3 · 2H2O Nickel-Strunz 08.DH.30
min:kolicite	Kolicite	Mn2+7Zn4(AsO4)2(SiO4)2(OH)8 Nickel-Strunz 08.BE.60
min:kolitschite	Kolitschite	PbZn0.5Fe3(AsO4)2(OH)6 Nickel-Strunz 08.BM.10
min:kollerite	Kollerite	(NH4)2Fe3+(SO3)2(OH)·H2O Nickel-Strunz 04.JE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kolovratite	Kolovratite	NixZny(VO4)0.67(x+y) · nH2O Nickel-Strunz 08.CB.50
min:kolskyite	Kolskyite	CaNa2Ti4(Si2O7)2O4(H2O)7 Nickel-Strunz 09.BE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kolwezite	Kolwezite	(Cu,Co)2(CO3)(OH)2 Nickel-Strunz 05.BA.10
min:kolymite	Kolymite	Cu7Hg6 Nickel-Strunz 01.AD.10
min:komarovite	Komarovite	(Ca,Mn)(Nb,Ti)2[Si2O7](O,F)3 · 3.5H2O Nickel-Strunz 09.CE.45
min:kombatite	Kombatite	Pb14(VO4)2O9Cl4 Nickel-Strunz 08.BO.20
min:komkovite	Komkovite	BaZr[Si3O9] · 3H2O Nickel-Strunz 09.DM.10
min:konderite	Konderite	Cu3Pb(Rh,Pt,Ir)8S16 Nickel-Strunz 02.DA.20
min:koninckite	Koninckite	Fe3+PO4 · 3H2O Nickel-Strunz 08.CE.55
min:kononovite	Kononovite	NaMg(SO4)F Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:konyaite	Konyaite	Na2Mg(SO4)2 · 5H2O Nickel-Strunz 07.CC.80
min:koragoite	Koragoite	(Mn2+,Fe3+)3(Nb,Ta,Ti)2(Nb,Mn)2(W,Ta)2O20 Nickel-Strunz 04.DE.10
min:koritnigite	Koritnigite	Zn(HAsO4) · H2O Nickel-Strunz 08.CB.20
min:korkinoite	Korkinoite	Ca4(SO4)2(CO3)2 · 9(H2O) Nickel-Strunz 07.DG.20
min:kornelite	Kornelite	Fe2(SO4)3 · 7H2O Nickel-Strunz 07.CB.60
min:kornerupine	Kornerupine	Mg3Al6(Si,Al,B)5O21(OH) Nickel-Strunz 09.BJ.50
min:korobitsynite	Korobitsynite	Na2(Ti,Nb)2(Si4O12)(OH,O)2 · 3-4H2O Nickel-Strunz 09.CE.30a
min:korshunovskite	Korshunovskite	Mg2Cl(OH)3 · 4H2O Nickel-Strunz 03.BD.15
min:koryakite	Koryakite	NaKMg2Al2(SO4)6 Nickel-Strunz 07.AB.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:korzhinskite	Korzhinskite	Ca(B2O4) · H2O Nickel-Strunz 06.GA.30
min:kosmochlor	Kosmochlor	NaCrSi2O6 Nickel-Strunz 09.DA.25
min:kosnarite	Kosnarite	KZr2(PO4)3 Nickel-Strunz 08.AC.60
min:kostovite	Kostovite	CuAuTe4 Nickel-Strunz 02.EA.15
min:kostylevite	Kostylevite	K2Zr(Si3O9) · H2O Nickel-Strunz 09.CJ.35
min:kotoite	Kotoite	Mg3[BO3]2 Nickel-Strunz 06.AA.35
min:kottenheimite	Kottenheimite	Ca3Si(SO4)2(OH)6·12H2O Nickel-Strunz 07.DG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kotulskite	Kotulskite	Pd(Te,Bi) Nickel-Strunz 02.CC.05
min:koutekite	Koutekite	Cu5As2 Nickel-Strunz 02.AA.10d
min:kovdorskite	Kovdorskite	Mg2(PO4)(OH) · 3H2O Nickel-Strunz 08.DC.22
min:kozoite-la	Kozoite-(La)	(La,Nd)(CO3)(OH) Nickel-Strunz 05.DC.05
min:kozoite-nd	Kozoite-(Nd)	(Nd,La,Sm,Pr)(CO3)(OH) Nickel-Strunz 05.DC.05
min:kozyrevskite	Kozyrevskite	Cu4O(AsO4)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kraisslite	Kraisslite	Zn3(Mn,Mg)25(Fe3+,Al)(As3+O3)2[(Si,As5+)O4]10(OH)16 Nickel-Strunz 08.BE.45
min:krasheninnikovite	Krasheninnikovite	KNa2CaMg(SO4)3F Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:krasnogorite	Krasnogorite	WO3 Nickel-Strunz 04.EA.10
min:krasnoselskite	Krasnoselskite	CoWO4 Nickel-Strunz 04.DB.30
min:krasnoshteinite	Krasnoshteinite	Al8[B2O4(OH)2](OH)16Cl4·7H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:krasnovite	Krasnovite	Ba(Al,Mg)(PO4,CO3)(OH)2 · H2O Nickel-Strunz 08.DK.35
min:kratochvilite	Kratochvílite	C13H10 Nickel-Strunz 10.BA.25
min:krausite	Krausite	KFe(SO4)2 · H2O Nickel-Strunz 07.CC.05
min:krauskopfite	Krauskopfite	BaSi2O5 · 3H2O Nickel-Strunz 09.DH.30
min:krautite	Krautite	Mn(HAsO4) · H2O Nickel-Strunz 08.CB.15
min:kravtsovite	Kravtsovite	PdAg2S Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kremersite	Kremersite	(NH4,K)2[Fe3+Cl5(H2O)] Nickel-Strunz 03.CJ.10
min:krennerite	Krennerite	Au3AgTe8 Nickel-Strunz 02.EA.15
min:krettnichite	Krettnichite	PbMn3+2(VO4)2(OH)2 Nickel-Strunz 08.CG.15
min:kribergite	Kribergite	Al5(PO4)3(SO4)(OH)4 · 4H2O Nickel-Strunz 08.DC.52
min:krieselite	Krieselite	(Al,Ga)2(GeO4)(OH)2 Nickel-Strunz 09.AF.20
min:krinovite	Krinovite	Na2Mg4Cr3+2(Si6O18)O2 Nickel-Strunz 09.DH.40
min:kristiansenite	Kristiansenite	Ca2ScSn(Si2O7)(Si2O6OH) Nickel-Strunz 09.BC.30
min:krivovichevite	Krivovichevite	Pb3Al(OH)6(SO4)(OH) Nickel-Strunz 07.BC.75
min:krotite	Krotite	CaAl2O4 Nickel-Strunz 04.BC.10 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kroupaite	Kroupaite	KPb0.5[(UO2)8O4(OH)10]·10H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kruijenite	Kruijenite	Ca4Al4(SO4)F2(OH)16·2H2O Nickel-Strunz 03.CG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:krupkaite	Krupkaite	PbCuBi3S6 Nickel-Strunz 02.HB.05a
min:krutaite	Krut'aite	CuSe2 Nickel-Strunz 02.EB.05a
min:krutovite	Krutovite	NiAs2 Nickel-Strunz 02.EB.25
min:kryachkoite	Kryachkoite	(Al,Cu)6(Fe,Cu) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kryzhanovskite	Kryzhanovskite	(Fe3+,Mn2+)3(PO4)2(OH,H2O)3 Nickel-Strunz 08.CC.05
min:krasnoite	Krásnoite	Ca3Al7.7Si3P4O23.5(OH)12.1F2 · 8H2O Nickel-Strunz 08.DO.20
min:krohnkite	Kröhnkite	Na2Cu(SO4)2 · 2H2O Nickel-Strunz 07.CC.30
min:ktenasite	Ktenasite	Zn(Cu,Zn)4(SO4)2(OH)6 · 6H2O Nickel-Strunz 07.DD.20
min:kuannersuite-ce	Kuannersuite-(Ce)	NaCeBa3(PO4)3F0.5Cl0.5 Nickel-Strunz 08.BN.05
min:kudriavite	Kudriavite	(Cd,Pb)Bi2S4 Nickel-Strunz 02.JA.05c
min:kudryavtsevaite	Kudryavtsevaite	Na3(Mg,Fe)(Fe,Ti)2Ti3O12 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kukharenkoite-ce	Kukharenkoite-(Ce)	Ba2Ce(CO3)3F Nickel-Strunz 05.BD.10
min:kukharenkoite-la	Kukharenkoite-(La)	Ba2(La,Ce,Th)(CO3)3F Nickel-Strunz 05.BD.10
min:kukisvumite	Kukisvumite	Na6ZnTi4(Si8O24)O4 · 4H2O Nickel-Strunz 09.DB.20
min:kuksite	Kuksite	Pb3Zn3(PO4)2(TeO6) Nickel-Strunz 08.DL.20
min:kulanite	Kulanite	Ba(Fe2+,Mn2+,Mg)2(Al,Fe3+)2(PO4)3(OH)3 Nickel-Strunz 08.BH.20
min:kuliginite	Kuliginite	Fe3Mg(OH)6Cl2 Nickel-Strunz 03.D0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kuliokite-y	Kuliokite-(Y)	Y4Al(SiO4)2(OH)2F5 Nickel-Strunz 09.AG.50
min:kulkeite	Kulkeite	Mg8Al(AlSi7O20)(OH)10 Nickel-Strunz 09.EC.60
min:kullerudite	Kullerudite	NiSe2 Nickel-Strunz 02.EB.10a
min:kumdykolite	Kumdykolite	Na(AlSi3O8) Nickel-Strunz 09.FA.45
min:kummerite	Kummerite	Mn2+Fe3+Al(PO4)2(OH)2·8H2O Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kumtyubeite	Kumtyubeite	Ca5(SiO4)2F2 Nickel-Strunz 09.AF.45
min:kunatite	Kunatite	CuFe3+2(PO4)2(OH)2 · 4H2O Nickel-Strunz 08.DC.15
min:kupfferite	Kupfferite	Mg7Si8O22(OH)2 Nickel-Strunz 09.DD.05
min:kupletskite	Kupletskite	(K,Na)3(Mn,Fe)7Ti2Si8O26(OH)4F Nickel-Strunz 09.DC.05
min:kupletskite-cs	Kupletskite-(Cs)	Cs2NaMn2+7Ti2(Si4O12)2O2(OH)4F Nickel-Strunz 09.DC.05
min:kupcikite	Kup?íkite	Cu3.4Fe0.6Bi5S10 Nickel-Strunz 02.JA.10b
min:kuramite	Kuramite	Cu3SnS4 Nickel-Strunz 02.CB.15a
min:kuranakhite	Kuranakhite	PbMn4+Te6+O6 Nickel-Strunz 04.DM.25
min:kuratite	Kuratite	Ca2(Fe2+5Ti)O2[Si4Al2O18] Nickel-Strunz 09.DH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kurchatovite	Kurchatovite	Ca(Mg,Mn2+)[B2O5] Nickel-Strunz 06.BA.10
min:kurgantaite	Kurgantaite	CaSr[B5O9]Cl · H2O Nickel-Strunz 06.ED.05
min:kurilite	Kurilite	Ag8Te3Se Nickel-Strunz 02.00.00
min:kurnakovite	Kurnakovite	MgB3O3(OH)5 · 5H2O Nickel-Strunz 06.CA.20
min:kurumsakite	Kurumsakite	(Zn,Ni,Cu)8Al8V5+2Si5O35 · 27H2O (?) Nickel-Strunz 09.EC.40
min:kusachiite	Kusachiite	CuBi2O4 Nickel-Strunz 04.JA.20
min:kushiroite	Kushiroite	CaAl[AlSiO6] Nickel-Strunz 09.DA.15
min:kutinaite	Kutinaite	Ag6Cu14As7 Nickel-Strunz 02.AA.25
min:kutnohorite	Kutnohorite	CaMn2+(CO3)2 Nickel-Strunz 05.AB.10
min:kuzelite	Kuzelite	Ca4Al2(OH)12[SO4] · 6H2O Nickel-Strunz 04.FL.15
min:kuzmenkoite-mn	Kuzmenkoite-Mn	K2Mn2+(Ti,Nb)4(Si4O12)2(OH,O)4 · 5-6H2O Nickel-Strunz 09.CE.30c
min:kuzmenkoite-zn	Kuzmenkoite-Zn	K2Zn(Ti,Nb)4(Si4O12)2(OH,O)4·6-8H2O Nickel-Strunz 09.CE.30c
min:kuzminite	Kuzminite	(Hg2+2)(Br,Cl)2 Nickel-Strunz 03.AA.30
min:kuznetsovite	Kuznetsovite	(Hg+2)Hg2+(AsO4)Cl Nickel-Strunz 08.BO.35
min:kvanefjeldite	Kvanefjeldite	Na4(Ca,Mn)(Si3O7)2(OH)2 Nickel-Strunz 09.DP.30
min:kyanite	Kyanite	Al2(SiO4)O Nickel-Strunz 09.AF.15
min:kyanoxalite	Kyanoxalite	Na7(Al6-xSi6+xO24)(C2O4)0.5+x · 5H2O (0 < x < 0.5) Nickel-Strunz 09.FB.05
min:kyawthuite	Kyawthuite	Bi3+Sb5+O4 Nickel-Strunz 04.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:kyrgyzstanite	Kyrgyzstanite	ZnAl4(SO4)(OH)12·3H2O Nickel-Strunz 07.DD.75
min:kyzylkumite	Kyzylkumite	V3+Ti2O5(OH) Nickel-Strunz 04.CB.75
min:kesterite	Kësterite	Cu2ZnSnS4 Nickel-Strunz 02.CB.15a
min:kottigite	Köttigite	Zn3(AsO4)2 · 8H2O Nickel-Strunz 08.CE.40
min:laachite	Laachite	(Ca,Mn)2Zr2Nb2TiFeO14 Nickel-Strunz 04.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:labradorite	Labradorite	(Ca,Na)[Al(Al,Si)Si2O8] Nickel-Strunz 09.FA.35
min:labuntsovite-fe	Labuntsovite-Fe	Na4K4(Ba,K)2Fe2+(Ti,Nb)8(Si4O12)4(O,OH)8 · 10H2O Nickel-Strunz 09.CE.30e
min:labuntsovite-mg	Labuntsovite-Mg	Na4K4(Ba,K)2Mg(Ti,Nb)8(Si4O12)4(O,OH)8 · 10H2O Nickel-Strunz 09.CE.30e
min:labuntsovite-mn	Labuntsovite-Mn	Na4K4(Ba,K)2Mn2+(Ti,Nb)8(Si4O12)4(O,OH)8 · 10-12H2O Nickel-Strunz 09.CE.30e
min:labyrinthite	Labyrinthite	(Na,K,Sr)35Ca12Fe3Zr6TiSi51O144(O,OH,H2O)9Cl3 Nickel-Strunz 09.CO.10
min:lacroixite	Lacroixite	NaAl(PO4)F Nickel-Strunz 08.BH.10
min:laffittite	Laffittite	AgHgAsS3 Nickel-Strunz 02.GA.35
min:laflammeite	Laflammeite	Pd3Pb2S2 Nickel-Strunz 02.BC.60
min:laforetite	Laforêtite	AgInS2 Nickel-Strunz 02.CB.10a
min:lafossaite	Lafossaite	Tl(Cl,Br) Nickel-Strunz 03.AA.25
min:lagalyite	Lagalyite	Ca2xMn1-xO2·1.5-2H2O (x = 0.05 0.08) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:lahnsteinite	Lahnsteinite	Zn4(SO4)(OH)6 · 3H2O Nickel-Strunz 07.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:laihunite	Laihunite	Fe2+Fe3+2(SiO4)2 Nickel-Strunz 09.AC.05
min:laitakarite	Laitakarite	Bi4Se2S Nickel-Strunz 02.DC.05
min:lakargiite	Lakargiite	Ca(Zr,Sn,Ti)O3 Nickel-Strunz 04.CC.30
min:lakebogaite	Lakebogaite	CaNaFe3+2H(UO2)2(PO4)4(OH)2 · 8H2O Nickel-Strunz 08.EA.20
min:lalondeite	Lalondeite	(Na,Ca)6(Ca,Na)3Si16O38(F,OH)2·3H2O Nickel-Strunz 09.EE.85
min:lammerite	Lammerite	Cu3(AsO4)2 Nickel-Strunz 08.AB.30
min:lammerite-beta	Lammerite-?	Cu3(AsO4)2 Nickel-Strunz 08.AB.30
min:lamprophyllite	Lamprophyllite	(Na,Mn2+)3(Sr,Na)2(Ti,Fe3+)3(Si2O7)2O2(OH,O,F)2 Nickel-Strunz 09.BE.25
min:lanarkite	Lanarkite	Pb2(SO4)O Nickel-Strunz 07.BD.40
min:landauite	Landauite	NaMnZn2(Ti,Fe)6Ti12O38 Nickel-Strunz 04.CC.40
min:landesite	Landesite	Mn2+3-xFe3+x(PO4)2(OH)x · (3-x)H2O Nickel-Strunz 08.CC.05
min:langbeinite	Langbeinite	K2Mg2(SO4)3 Nickel-Strunz 07.AC.10
min:langisite	Langisite	(Co,Ni)As Nickel-Strunz 02.CC.05
min:langite	Langite	Cu4(SO4)(OH)6 · 2H2O Nickel-Strunz 07.DD.10
min:lanmuchangite	Lanmuchangite	Tl+Al(SO4)2 · 12H2O Nickel-Strunz 07.CC.20
min:lannonite	Lannonite	Mg2Ca4Al4(SO4)8F8 · 24H2O Nickel-Strunz 07.DF.40
min:lansfordite	Lansfordite	MgCO3 · 5H2O Nickel-Strunz 05.CA.10
min:lanthanite-ce	Lanthanite-(Ce)	(Ce,La,Nd)2(CO3)3 · 8H2O Nickel-Strunz 05.CC.25
min:lanthanite-la	Lanthanite-(La)	(La,Ce)2(CO3)3 · 8H2O Nickel-Strunz 05.CC.25
min:lanthanite-nd	Lanthanite-(Nd)	(Nd,La)2(CO3)3 · 8H2O Nickel-Strunz 05.CC.25
min:lapeyreite	Lapeyreite	Cu3O[AsO3(OH)]2 · 0.75H2O Nickel-Strunz 08.00.00
min:laphamite	Laphamite	As2(Se,S)3 Nickel-Strunz 02.FA.30
min:lapieite	Lapieite	NiCuSbS3 Nickel-Strunz 02.GA.25
