label	s	strunz
Kristiansenite	gcmin:kristiansenite	09.BC.30
Kristiansenite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55753>	
Krivovichevite	gcmin:krivovichevite	07.BC.75
Kroupaite	gcmin:kroupaite	04.GB.85
Krupkaite	gcmin:krupkaite	02.HB.05a
Krut'aite	gcmin:krutaite	02.EB.05a
Krutovite	gcmin:krutovite	02.EB.25
Kryzhanovskite	gcmin:kryzhanovskite	08.CC.05
Krásnoite	gcmin:krasnoite	08.DO.??
Kröhnkite	gcmin:krohnkite	07.CC.30
Ktenasite	gcmin:ktenasite	07.DD.20
Ktenasite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/53540>	
Kuannersuite-(Ce)	gcmin:kuannersuite-ce	08.BN.05
Kudriavite	gcmin:kudriavite	02.JA.05c
Kukharenkoite-(Ce)	gcmin:kukharenkoite-ce	05.BD.10
Kukharenkoite-(La)	gcmin:kukharenkoite-la	05.BD.10
Kukisvumite	gcmin:kukisvumite	09.DB.20
Kuksite	gcmin:kuksite	08.DL.20
Kulanite	gcmin:kulanite	08.BH.20
Kuliokite-(Y)	gcmin:kuliokite-y	09.AG.50
Kulkeite	gcmin:kulkeite	09.EC.60
Kullerudite	gcmin:kullerudite	02.EB.10a
Kumdykolite	gcmin:kumdykolite	09.FA.45
Kummerite	gcmin:kummerite	08.DC.30
Kumtyubeite	gcmin:kumtyubeite	09.AF.45
Kunatite	gcmin:kunatite	08.DC.15
Kupcíkite	gcmin:kupcikite	02.JA.10b
Kupletskite	gcmin:kupletskite	09.DC.05
Kupletskite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46963>	
Kupletskite-(Cs)	gcmin:kupletskite-cs	09.DC.05
Kuramite	gcmin:kuramite	02.CB.15a
Kuranakhite	gcmin:kuranakhite	04.DM.25
Kuratite	gcmin:kuratite	09.DH.40
Kurchatovite	gcmin:kurchatovite	06.BA.10
Kurgantaite	gcmin:kurgantaite	06.ED.05
Kurilite	gcmin:kurilite	02.BA.45
Kurnakovite	gcmin:kurnakovite	06.CA.20
Kurumsakite	gcmin:kurumsakite	09.EC.40
Kusachiite	gcmin:kusachiite	04.JA.20
Kutinaite	gcmin:kutinaite	02.AA.25
Kutnohorite	gcmin:kutnohorite	05.AB.10
Kuvaevite	gcmin:kuvaevite	02.CC
Kuvaevite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55680>	
Kuzelite	gcmin:kuzelite	04.FL.15
Kuzmenkoite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46933>	
Kuzmenkoite-Mn	gcmin:kuzmenkoite-mn	09.CE.30c
Kuzmenkoite-Zn	gcmin:kuzmenkoite-zn	09.CE.30c
Kuzminite	gcmin:kuzminite	03.AA.30
Kuznetsovite	gcmin:kuznetsovite	08.BO.35
Kvanefjeldite	gcmin:kvanefjeldite	09.DP.30
Kyanite	gcmin:kyanite	09.AF.15
Kyanoxalite	gcmin:kyanoxalite	09.FB.05
Kyrgyzstanite	gcmin:kyrgyzstanite	07.DD.75
Kyzylkumite	gcmin:kyzylkumite	04.CB.75
Kësterite	gcmin:kesterite	02.CB.15a
Köttigite	gcmin:kottigite	08.CE.40
Laachite	gcmin:laachite	04.DH.30
Labradorite	gcmin:labradorite	
Labuntsovite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46932>	
Labuntsovite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/30454>	
Labuntsovite-Fe	gcmin:labuntsovite-fe	09.CE.30e
Labuntsovite-Mg	gcmin:labuntsovite-mg	09.CE.30e
Labuntsovite-Mn	gcmin:labuntsovite-mn	09.CE.30e
Labyrinthite	gcmin:labyrinthite	09.CO.10
Lacroixite	gcmin:lacroixite	08.BH.10
Laffittite	gcmin:laffittite	02.GA.35
Laflammeite	gcmin:laflammeite	02.BC.60
Laforêtite	gcmin:laforetite	02.CB.10a
Lafossaite	gcmin:lafossaite	03.AA.25
Lagalyite	gcmin:lagalyite	04.FL.90
Lahnsteinite	gcmin:lahnsteinite	07.??
Laihunite	gcmin:laihunite	09.AC.05
Laitakarite	gcmin:laitakarite	02.DC.05
Lakargiite	gcmin:lakargiite	04.CC.30
Lakebogaite	gcmin:lakebogaite	08.EA.20
Lalondeite	gcmin:lalondeite	09.EE.85
Lammerite	gcmin:lammerite	08.AB.30
Lammerite-ß	gcmin:lammerite-beta	08.AB.30
Lamprophyllite	gcmin:lamprophyllite	09.BE.25
Lamprophyllite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42445>	
Lanarkite	gcmin:lanarkite	07.BD.40
Landauite	gcmin:landauite	04.CC.40
Landesite	gcmin:landesite	08.CC.05
Langbeinite	gcmin:langbeinite	07.AC.10
Langbeinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40443>	
Langisite	gcmin:langisite	02.CC.05
Langite	gcmin:langite	07.DD.10
Lanmuchangite	gcmin:lanmuchangite	07.CC.20
Lannonite	gcmin:lannonite	07.DF.40
Lansfordite	gcmin:lansfordite	05.CA.10
Lanthanite-(Ce)	gcmin:lanthanite-ce	05.CC.25
Lanthanite-(La)	gcmin:lanthanite-la	05.CC.25
Lanthanite-(Nd)	gcmin:lanthanite-nd	05.CC.25
Lapeyreite	gcmin:lapeyreite	08.DB.47
Laphamite	gcmin:laphamite	02.FA.30
Lapieite	gcmin:lapieite	02.GA.25
Lapieite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46742>	
Laplandite-(Ce)	gcmin:laplandite-ce	09.DJ.10
Laptevite-(Ce)	gcmin:laptevite-ce	09.??
Larderellite	gcmin:larderellite	06.EB.05
Larisaite	gcmin:larisaite	04.JH.25
Larnite	gcmin:larnite	09.AD.05
Larosite	gcmin:larosite	02.LB.35
Larsenite	gcmin:larsenite	09.AB.10
Lasalite	gcmin:lasalite	04.HC.05
Lasalite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55047>	
Latiumite	gcmin:latiumite	09.EG.45
Latiumite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/51839>	
Latrappite	gcmin:latrappite	04.CC.30
Laueite	gcmin:laueite	08.DC.30
Laueite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29437>	
Laueite Supergroup 	<https://w3id.org/geochem/1.0/min/grouplexicon/46444>	
Laumontite	gcmin:laumontite	09.GB.10
Launayite	gcmin:launayite	02.LB.30
Lauraniite	gcmin:lauraniite	07.DD.52
Laurelite	gcmin:laurelite	03.DC.20
Laurentianite	gcmin:laurentianite	09.??
Laurionite	gcmin:laurionite	03.DC.05
Laurite	gcmin:laurite	02.EB.05a
Lausenite	gcmin:lausenite	07.CB.70
Lautarite	gcmin:lautarite	04.KA.05
Lautenthalite	gcmin:lautenthalite	07.DE.70
Lautite	gcmin:lautite	02.CB.40
Lavendulan	gcmin:lavendulan	08.DG.05
Lavendulan Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39534>	
Lavinskyite	gcmin:lavinskyite	09.??
Lavoisierite	gcmin:lavoisierite	09.??
Lavrentievite	gcmin:lavrentievite	02.FC.15a
Lawrencite	gcmin:lawrencite	03.AB.20
Lawrencite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32112>	
Lawsonbauerite	gcmin:lawsonbauerite	07.DD.40
Lawsonite	gcmin:lawsonite	09.BE.05
Lawsonite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46549>	
Lazarenkoite	gcmin:lazarenkoite	04.JC.10
Lazaridisite	gcmin:lazaridisite	07.CB.50
Lazulite	gcmin:lazulite	08.BB.40
Lazulite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29301>	
Lazurite	gcmin:lazurite	09.FB.10
Lead	gcmin:lead	01.AA.05
Leadamalgam	gcmin:leadamalgam	01.AD.30
Leadhillite	gcmin:leadhillite	05.BF.40
Leakeite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43507>	
Lechatelierite	gcmin:lechatelierite	0
Lecontite	gcmin:lecontite	07.CD.15
Lecoqite-(Y)	gcmin:lecoqite-y	05.CC.45
Leesite	gcmin:leesite	04.GB.90
Lefontite	gcmin:lefontite	08.DD.20
Legrandite	gcmin:legrandite	08.DC.10
Lehnerite	gcmin:lehnerite	08.EB.10
Leifite	gcmin:leifite	09.EH.25
Leifite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39349>	
Leightonite	gcmin:leightonite	07.CC.70
Leisingite	gcmin:leisingite	04.FL.65
Leiteite	gcmin:leiteite	04.JA.05
Lemanskiite	gcmin:lemanskiite	08.DG.05
Lemmleinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46931>	
Lemmleinite-Ba	gcmin:lemmleinite-ba	09.CE.30d
Lemmleinite-K	gcmin:lemmleinite-k	09.CE.30d
Lemoynite	gcmin:lemoynite	09.DP.35
Lenaite	gcmin:lenaite	02.CB.10a
Lengenbachite	gcmin:lengenbachite	02.HF.30
Leningradite	gcmin:leningradite	08.BH.65
Lennilenapeite	gcmin:lennilenapeite	09.EG.40
Lenoblite	gcmin:lenoblite	04.HG.60
Leogangite	gcmin:leogangite	08.CC.15
Leonardsenite	gcmin:leonardsenite	03.CB.25
Leonite	gcmin:leonite	07.CC.55
Leonite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42039>	
Lepersonnite-(Gd)	gcmin:lepersonnite-gd	05.EG.10
Lepidocrocite	gcmin:lepidocrocite	04.FE.15
Lepidolite	<https://w3id.org/geochem/1.0/min/grouplexicon/2380>	
Lepkhenelmite-Zn	gcmin:lepkhenelmite-zn	09.CE.30c
Lermontovite	gcmin:lermontovite	08.DN.15
Lesukite	gcmin:lesukite	03.BD.10
Letovicite	gcmin:letovicite	07.AD.20
Leucite	gcmin:leucite	09.GB.05
Leucophanite	gcmin:leucophanite	09.DH.05
Leucophoenicite	gcmin:leucophoenicite	09.AF.60
Leucophoenicite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/46181>	
Leucophosphite	gcmin:leucophosphite	08.DH.10
Leucophosphite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/35756>	
Leucosphenite	gcmin:leucosphenite	09.DP.15
Leucostaurite	gcmin:leucostaurite	06.EA.05
Levantite	gcmin:levantite	09.EG.45
Levinsonite-(Y)	gcmin:levinsonite-y	10.AB.70
Leydetite	gcmin:leydetite	07.EB.15
Leószilárdite	gcmin:leoszilardite	05.ED.60
Liandratite	gcmin:liandratite	04.DH.35
Liberite	gcmin:liberite	09.AA.10
Libethenite	gcmin:libethenite	08.BB.30
Liebauite	gcmin:liebauite	09.DO.25
Liebenbergite	gcmin:liebenbergite	09.AC.05
Liebermannite	gcmin:liebermannite	09.FA.70
Liebigite	gcmin:liebigite	05.ED.20
Liguowuite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/55904>	
Likasite	gcmin:likasite	05.ND.05
Lileyite	gcmin:lileyite	09.BE.25
Lillianite	gcmin:lillianite	02.JB.40a
Lillianite Homologous Series	<https://w3id.org/geochem/1.0/min/grouplexicon/47733>	
Lime	gcmin:lime	04.AB.25
Linarite	gcmin:linarite	07.BC.65
Linarite-Chenite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32670>	
Lindackerite	gcmin:lindackerite	08.CE.30
Lindackerite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39589>	
Lindackerite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/46452>	
Lindbergite	gcmin:lindbergite	10.AB.05
Lindgrenite	gcmin:lindgrenite	07.GB.05
Lindqvistite	gcmin:lindqvistite	04.CC.45
Lindsleyite	gcmin:lindsleyite	04.CC.40
Lindströmite	gcmin:lindstromite	02.HB.05a
Lingbaoite	gcmin:lingbaoite	02.CB.42
Linnaeite	gcmin:linnaeite	02.DA.05
Linnaeite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/52935>	
Lintisite	gcmin:lintisite	09.DB.15
Linzhiite	gcmin:linzhiite	01.BB.20
Liottite	gcmin:liottite	09.FB.05
Lipscombite	gcmin:lipscombite	08.BB.90
Liroconite	gcmin:liroconite	08.DF.20
Lisetite	gcmin:lisetite	09.FA.55
Lishizhenite	gcmin:lishizhenite	07.CB.75
Lisiguangite	gcmin:lisiguangite	02.GA.25
Lisitsynite	gcmin:lisitsynite	09.FA.25
Liskeardite	gcmin:liskeardite	08.DF.10
Lislkirchnerite	gcmin:lislkirchnerite	05.ND.25
Litharge	gcmin:litharge	04.AC.20
Lithiomarsturite	gcmin:lithiomarsturite	09.DK.05
Lithiophilite	gcmin:lithiophilite	08.AB.10
Lithiophorite	gcmin:lithiophorite	04.FE.25
Lithiophosphate	gcmin:lithiophosphate	08.AA.20
Lithiotantite	gcmin:lithiotantite	04.DB.40
Lithiowodginite	gcmin:lithiowodginite	04.DB.40
Lithium Amphibole Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/9390>	
Lithosite	gcmin:lithosite	09.GB.05
Litidionite	gcmin:litidionite	09.DG.70
Litidionite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46027>	
Litochlebite	gcmin:litochlebite	02.HB.20e
Litvinskite	gcmin:litvinskite	09.CJ.15a
Liveingite	gcmin:liveingite	02.HC.05c
Liversidgeite	gcmin:liversidgeite	08.CD.35
Livingstonite	gcmin:livingstonite	02.JA.05i
Lizardite	gcmin:lizardite	09.ED.15
Lokkaite-(Y)	gcmin:lokkaite-y	05.CC.15
Lomonosovite	gcmin:lomonosovite	09.BE.32
Londonite	gcmin:londonite	06.GC.05
Lonecreekite	gcmin:lonecreekite	07.CC.20
Lonsdaleite	gcmin:lonsdaleite	01.CB.10b
Loparite-(Ce)	gcmin:loparite-ce	04.CC.35
Lopatkaite	gcmin:lopatkaite	02.HC.50
Loranskite-(Y)	gcmin:loranskite-y	04.DG.05
Lorenzenite	gcmin:lorenzenite	09.DB.10
Lorándite	gcmin:lorandite	02.HD.05
Loseyite	gcmin:loseyite	05.BA.30
Lotharmeyerite	gcmin:lotharmeyerite	08.CG.15
Loudounite	gcmin:loudounite	09.HF.10
Loughlinite	gcmin:loughlinite	09.EE.25
Lourenswalsite	gcmin:lourenswalsite	09.EJ.05
Lovdarite	gcmin:lovdarite	09.GF.15
Loveringite	gcmin:loveringite	04.CC.40
Lovozerite	gcmin:lovozerite	09.CJ.15a
Lovozerite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29304>	
Low-calcium pyroxene	gcmin:low-calciumpyroxene	
Luanheite	gcmin:luanheite	01.AD.15b
Luanshiweiite	gcmin:luanshiweiite	09.EC.10
Luberoite	gcmin:luberoite	02.BC.35
Lucabindiite	gcmin:lucabindiite	08.??
Lucabindiite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/471029>	
Lucasite-(Ce)	gcmin:lucasite-ce	04.DH.10
Lucchesiite	gcmin:lucchesiite	09.CK.05
Luddenite	gcmin:luddenite	09.HH.10
Ludjibaite	gcmin:ludjibaite	08.BD.25
Ludlamite	gcmin:ludlamite	08.CD.20
Ludlamite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/53340>	
Ludlockite	gcmin:ludlockite	04.JA.45
Ludwigite	gcmin:ludwigite	06.AB.30
Ludwigite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29305>	
Lueshite	gcmin:lueshite	04.CC.30
Luetheite	gcmin:luetheite	08.DD.05
Luinaite-(OH)	gcmin:luinaite-oh	09.CK.05
Lukechangite-(Ce)	gcmin:lukechangite-ce	05.BD.05
Lukkulaisvaaraite	gcmin:lukkulaisvaaraite	02.BC.40
Lukrahnite	gcmin:lukrahnite	08.CG.20
Lulzacite	gcmin:lulzacite	08.BK.25
Lun'okite	gcmin:lunokite	08.DH.20
Lunijianlaite	gcmin:lunijianlaite	09.EC.60
Luobusaite	gcmin:luobusaite	01.BB.25
Lusernaite-(Y)	gcmin:lusernaite-y	05.DB.35
Luxembourgite	gcmin:luxembourgite	02.HB.20e
Luzonite	gcmin:luzonite	02.KA.10
Lyonsite	gcmin:lyonsite	08.AB.40
Långbanite	gcmin:langbanite	09.AG.10
Långbanshyttanite	gcmin:langbanshyttanite	08.DL.30
Låvenite	gcmin:lavenite	09.BE.17
Lévyclaudite	gcmin:levyclaudite	02.HF.25a
Lévyne-Ca	gcmin:levyne-ca	09.GD.15
Lévyne-Na	gcmin:levyne-na	09.GD.15
Lópezite	gcmin:lopezite	07.FD.05
Löllingite	gcmin:lollingite	02.EB.15a
Löllingite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29303>	
Löweite	gcmin:loweite	07.CC.45
Lüneburgite	gcmin:luneburgite	06.AC.25
Macaulayite	gcmin:macaulayite	09.EC.65
Macdonaldite	gcmin:macdonaldite	09.EB.05
Macedonite	gcmin:macedonite	04.CC.35
Macedonite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/50238>	
Macfallite	gcmin:macfallite	09.BG.15
Machatschkiite	gcmin:machatschkiite	08.CJ.35
Machiite	gcmin:machiite	04.CB.35
Mackayite	gcmin:mackayite	04.JL.10
Mackinawite	gcmin:mackinawite	02.CC.25
Macphersonite	gcmin:macphersonite	05.BF.40
Macquartite	gcmin:macquartite	09.HH.05
Madeiraite	gcmin:madeiraite	09.BE
Madocite	gcmin:madocite	02.LB.30
Magadiite	gcmin:magadiite	09.EA.20
Magbasite	gcmin:magbasite	09.HA.25
Maghagendorfite	gcmin:maghagendorfite	08.AC.10
Maghemite	gcmin:maghemite	04.BB.15
Maghrebite	gcmin:maghrebite	08.DC.30
Maghrebite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46445>	
Magnesio-arfvedsonite	gcmin:magnesio-arfvedsonite	09.DE.25
Magnesio-ferri-fluoro-hornblende	gcmin:magnesio-ferri-fluoro-hornblende	09.DE.10
Magnesio-fluoro-arfvedsonite	gcmin:magnesio-fluoro-arfvedsonite	09.DE.25
Magnesio-fluoro-hastingsite	gcmin:magnesio-fluoro-hastingsite	09.DE.15
Magnesio-foitite	gcmin:magnesio-foitite	09.CK.05
Magnesio-hastingsite	gcmin:magnesio-hastingsite	09.DE.15
Magnesio-hornblende	gcmin:magnesio-hornblende	09.DE.10
Magnesio-lucchesiite	gcmin:magnesio-lucchesiite	09.CK.05
Magnesio-riebeckite	gcmin:magnesio-riebeckite	09.DE.25
Magnesioaubertite	gcmin:magnesioaubertite	07.DB.05
Magnesiocarpholite	gcmin:magnesiocarpholite	09.DB.05
Magnesiochloritoid	gcmin:magnesiochloritoid	09.AF.85
Magnesiochlorophoenicite	gcmin:magnesiochlorophoenicite	08.BE.35
Magnesiochromite	gcmin:magnesiochromite	04.BB.05
Magnesiocopiapite	gcmin:magnesiocopiapite	07.DB.35
Magnesiocoulsonite	gcmin:magnesiocoulsonite	04.BB.05
Magnesiodumortierite	gcmin:magnesiodumortierite	09.AJ.10
Magnesioferrite	gcmin:magnesioferrite	04.BB.05
Magnesiohulsite	gcmin:magnesiohulsite	06.AB.45
Magnesiohögbomite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56065>	
Magnesiohögbomite-2N3S	gcmin:magnesiohogbomite-2n3s	04.CB.20
Magnesiohögbomite-2N4S	gcmin:magnesiohogbomite-2n4s	04.CB.20
Magnesiohögbomite-6N12S	gcmin:magnesiohogbomite-6n12s	04.CB
Magnesiohögbomite-6N6S	gcmin:magnesiohogbomite-6n6s	04.CB.20
Magnesiokoritnigite	gcmin:magnesiokoritnigite	08.CB.20
Magnesioleydetite	gcmin:magnesioleydetite	07.EB.15
Magnesioneptunite	gcmin:magnesioneptunite	09.EH.05
Magnesionigerite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56069>	
Magnesionigerite-6N6S	gcmin:magnesionigerite-6n6s	04.FC.20
Magnesiopascoite	gcmin:magnesiopascoite	04.HC.05
Magnesiorowlandite-(Y)	gcmin:magnesiorowlandite-y	09.H?.
Magnesiostaurolite	gcmin:magnesiostaurolite	09.AF.30
Magnesiotaaffeite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56071>	
Magnesiotaaffeite-2N'2S	gcmin:magnesiotaaffeite-2n2s	04.FC.25
Magnesiotaaffeite-6N'3S	gcmin:magnesiotaaffeite-6n3s	04.FC.25
Magnesiovesuvianite	gcmin:magnesiovesuvianite	09.BG
Magnesiovoltaite	gcmin:magnesiovoltaite	07.CC.25
Magnesiozippeite	gcmin:magnesiozippeite	07.EC.05
Magnesite	gcmin:magnesite	05.AB.05
Magnesium	gcmin:magnesium	01.AB
Magnesium-iron-manganese Amphibole Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/43524>	
Magnetite	gcmin:magnetite	04.BB.05
Magnetoplumbite	gcmin:magnetoplumbite	04.CC.45
Magnetoplumbite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29306>	
Magnetoplumbite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55418>	
Magnioursilite	gcmin:magnioursilite	09.AK.35
Magnolite	gcmin:magnolite	04.JK.60
Magnussonite	gcmin:magnussonite	04.JB.15
Mahnertite	gcmin:mahnertite	08.DH.45
Maikainite	gcmin:maikainite	02.CB.30
Majakite	gcmin:majakite	02.AC.25e
Majorite	gcmin:majorite	09.AD.25
Makarochkinite	gcmin:makarochkinite	09.DH.40
Makatite	gcmin:makatite	09.EE.45
Makovickyite	gcmin:makovickyite	02.JA.05d
Malachite	gcmin:malachite	05.BA.10
Malanite	gcmin:malanite	02.DA.05
Malayaite	gcmin:malayaite	09.AG.15
Maldonite	gcmin:maldonite	02.AA.40
Maleevite	gcmin:maleevite	09.FA.65
Maletoyvayamite	gcmin:maletoyvayamite	02.CB.45
Malhmoodite	gcmin:malhmoodite	08.CE.75
Malhmoodite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55995>	
Malinkoite	gcmin:malinkoite	09.FA.10
Malladrite	gcmin:malladrite	03.CH.05
Mallardite	gcmin:mallardite	07.CB.35
Mallestigite	gcmin:mallestigite	07.DF.25
Malyshevite	gcmin:malyshevite	02.GA.25
Mambertiite	gcmin:mambertiite	04.DM.30
Mammothite	gcmin:mammothite	07.BC.60
Manaevite-(Ce)	gcmin:manaevite-ce	09.BG.35
Manaksite	gcmin:manaksite	09.DG.70
Manandonite	gcmin:manandonite	09.ED.15
Mandarinoite	gcmin:mandarinoite	04.JH.15
Maneckiite	gcmin:maneckiite	08.CF.05
Manganarsite	gcmin:manganarsite	04.JB.10
Manganbabingtonite	gcmin:manganbabingtonite	09.DK.05
Manganbelyankinite	gcmin:manganbelyankinite	04.FM.25
Manganberzeliite	gcmin:manganberzeliite	08.AC.25
Mangangordonite	gcmin:mangangordonite	08.DC.30
Manganhumite	gcmin:manganhumite	09.AF.50
Manganhumite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/46187>	
Mangani-obertiite	gcmin:mangani-obertiite	09.DE.25
Manganiakasakaite-(La)	gcmin:manganiakasakaite-la	09.BG.05b
Manganiandrosite-(Ce)	gcmin:manganiandrosite-ce	09.BG.05
Manganiandrosite-(La)	gcmin:manganiandrosite-la	09.BG.05b
Manganiceladonite	gcmin:manganiceladonite	
Manganilvaite	gcmin:manganilvaite	09.BE.07
Manganite	gcmin:manganite	04.FD.15
Manganlotharmeyerite	gcmin:manganlotharmeyerite	08.CG.15
Mangano-ferri-eckermannite	gcmin:mangano-ferri-eckermannite	09.DE.25
Mangano-mangani-ungarettiite	gcmin:mangano-mangani-ungarettiite	09.DE.25
Manganoblödite	gcmin:manganoblodite	07
Manganochromite	gcmin:manganochromite	04.BB.05
Manganoeudialyte	gcmin:manganoeudialyte	09.CO.10
Manganohörnesite	gcmin:manganohornesite	08.CE.40
Manganokhomyakovite	gcmin:manganokhomyakovite	09.CO.10
Manganokukisvumite	gcmin:manganokukisvumite	09.DB.20
Manganolangbeinite	gcmin:manganolangbeinite	07.AC.10
Manganonaujakasite	gcmin:manganonaujakasite	09.EG.10
Manganoneptunite	gcmin:manganoneptunite	09.EH.05
Manganonordite-(Ce)	gcmin:manganonordite-ce	09.DO.15
Manganoquadratite	gcmin:manganoquadratite	02.GC.25
Manganosegelerite	gcmin:manganosegelerite	08.DH.20
Manganosite	gcmin:manganosite	04.AB.25
Manganostibite	gcmin:manganostibite	04.BA.10
Manganotychite	gcmin:manganotychite	05.BF.05
Manganvesuvianite	gcmin:manganvesuvianite	09.BG.35
Mangazeite	gcmin:mangazeite	07.DE.05
Manitobaite	gcmin:manitobaite	08.AC.18
Manitobaite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/53888>	
Manjiroite	gcmin:manjiroite	04.DK.05
Mannardite	gcmin:mannardite	04.DK.05
Mansfieldite	gcmin:mansfieldite	08.CD.10
Mantienneite	gcmin:mantienneite	08.DH.35
Maoniupingite-(Ce)	gcmin:maoniupingite-ce	09.BE.70
Mapimite	gcmin:mapimite	08.DC.55
Mapiquiroite	gcmin:mapiquiroite	04
Marathonite	gcmin:marathonite	01.B.05
Marcasite	gcmin:marcasite	02.EB.10a
Marcasite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29308>	
Marcobaldiite	gcmin:marcobaldiite	02.JB.30a
Margaritasite	gcmin:margaritasite	04.HB.05
Margarite	gcmin:margarite	09.EC.30
Margarosanite	gcmin:margarosanite	09.CA.25
Margarosanite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55046>	
Marialite	gcmin:marialite	09.FB.15
Marianoite	gcmin:marianoite	09.BE.17
Maricopaite	gcmin:maricopaite	09.GD.35
Mariinskite	gcmin:mariinskite	04.BA.??
Marinellite	gcmin:marinellite	09.FB.05
Mari?ite	gcmin:maricite	08.AC.20
Markascherite	gcmin:markascherite	07.GB.??
Markcooperite	gcmin:markcooperite	07.EB.25
Markhininite	gcmin:markhininite	07.AD.55
Marklite	gcmin:marklite	05.DA.65
Marokite	gcmin:marokite	04.BC.05
Marokite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/54112>	
Marrite	gcmin:marrite	02.JB.15
Marrucciite	gcmin:marrucciite	02.JB.60
Marshite	gcmin:marshite	03.AA.05
Marsturite	gcmin:marsturite	09.DK.05
Marthozite	gcmin:marthozite	04.JJ.05
Martinite	gcmin:martinite	09.EE.80
Martyite	gcmin:martyite	08.FD.05
Marumoite	gcmin:marumoite	02.HC.05g
Maruyamaite	gcmin:maruyamaite	09.CK.05
Marécottite	gcmin:marecottite	0
Mascagnite	gcmin:mascagnite	07.AD.05
Maslovite	gcmin:maslovite	02.EB.25
Massicot	gcmin:massicot	04.AC.25
Masutomilite	gcmin:masutomilite	09.EC.20
Masuyite	gcmin:masuyite	04.GB.35
Mathesiusite	gcmin:mathesiusite	07.DG
Mathewrogersite	gcmin:mathewrogersite	09.CJ.55
Mathiasite	gcmin:mathiasite	04.CC.40
Matildite	gcmin:matildite	02.JA.20
Matioliite	gcmin:matioliite	08.DK.15
Matlockite	gcmin:matlockite	03.DC.25
Matlockite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32146>	
Matsubaraite	gcmin:matsubaraite	09.BE.70
Mattagamite	gcmin:mattagamite	02.EB.10a
Matteuccite	gcmin:matteuccite	07.CD.05
Mattheddleite	gcmin:mattheddleite	09.AH.25
Matulaite	gcmin:matulaite	08.DK.30
Maucherite	gcmin:maucherite	02.AB.15
Mavlyanovite	gcmin:mavlyanovite	01.BB.05
Mawbyite	gcmin:mawbyite	08.CG.15
Mawsonite	gcmin:mawsonite	02.CB.20
Maxwellite	gcmin:maxwellite	08.BH.10
Mayenite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/43612>	
Mayingite	gcmin:mayingite	02.EB.25
Mazorite	gcmin:mazorite	08.AD
Mazzettiite	gcmin:mazzettiite	02.LB.40
Mazzite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/27548>	
