label	s	strunz
Alumovesuvianite	gcmin:alumovesuvianite	09.BG
Alumoåkermanite	gcmin:alumoakermanite	09.BB.10
Alunite	gcmin:alunite	07.BC.10
Alunite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39819>	
Alunite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/29267>	
Alunogen	gcmin:alunogen	07.CB.45
Alvanite	gcmin:alvanite	08.FE.05
Alwilkinsite-(Y)	gcmin:alwilkinsite-y	07.EB
Amakinite	gcmin:amakinite	04.FE.05
Amarantite	gcmin:amarantite	07.DB.30
Amarillite	gcmin:amarillite	07.CC.75
Amblygonite	gcmin:amblygonite	08.BB.05
Amblygonite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29268>	
Ambrinoite	gcmin:ambrinoite	02.HE.10
Ameghinite	gcmin:ameghinite	06.CA.10
Amesite	gcmin:amesite	09.ED.15
Amicite	gcmin:amicite	09.GC.05
Aminoffite	gcmin:aminoffite	09.BH.05
Ammineite	gcmin:ammineite	03.C
Ammonioalunite	gcmin:ammonioalunite	07.BC.10
Ammonioborite	gcmin:ammonioborite	06.EA.15
Ammoniojarosite	gcmin:ammoniojarosite	07.BC.10
Ammoniolasalite	gcmin:ammoniolasalite	04.HC
Ammonioleucite	gcmin:ammonioleucite	09.GB.05
Ammoniomagnesiovoltaite	gcmin:ammoniomagnesiovoltaite	07.CC.25
Ammoniomathesiusite	gcmin:ammoniomathesiusite	07.DF
Ammoniotinsleyite	gcmin:ammoniotinsleyite	08.DH
Ammoniozippeite	gcmin:ammoniozippeite	07.EC.05
Amphibole Group w(O)-dominant	<https://w3id.org/geochem/1.0/min/grouplexicon/43538>	
"Amphibole Group w(OH, F, Cl)-dominant"	<https://w3id.org/geochem/1.0/min/grouplexicon/43525>	
Amphibole Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/207>	
Amstallite	gcmin:amstallite	09.DP.25
Analcime	gcmin:analcime	09.GB.05
Anandite	gcmin:anandite	09.EC.35
Anapaite	gcmin:anapaite	08.CH.10
Anatase	gcmin:anatase	04.DD.05
Ancylite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39436>	
Ancylite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/471015>	
Ancylite-(Ce)	gcmin:ancylite-ce	05.DC.05
Ancylite-(La)	gcmin:ancylite-la	05.DC.05
Andalusite	gcmin:andalusite	09.AF.10
Andersonite	gcmin:andersonite	05.ED.30
Andesine	gcmin:andesine	
Andorite IV	gcmin:andorite_iv	02.JB.40a
Andorite VI	gcmin:andorite_vi	02.JB.40a
Andradite	gcmin:andradite	09.AD.25
Andrianovite	gcmin:andrianovite	09.CO.10
Andrieslombaardite	gcmin:andrieslombaardite	02.EB
Androsite-(Ce)	gcmin:androsite-ce	09.BG.05
Andrémeyerite	gcmin:andremeyerite	09.BB.20
Anduoite	gcmin:anduoite	02.EB.15a
Andychristyite	gcmin:andychristyite	07.CC
Andymcdonaldite	gcmin:andymcdonaldite	07.AB
Andyrobertsite	gcmin:andyrobertsite	08.DH.50
Angarfite	gcmin:angarfite	08.AC
Angastonite	gcmin:angastonite	08.DL.25
Angelellite	gcmin:angelellite	08.BC.05
Anglesite	gcmin:anglesite	07.AD.35
Anhydrite	gcmin:anhydrite	07.AD.30
Anhydrokainite	gcmin:anhydrokainite	07.BC.80
Anilite	gcmin:anilite	02.BA.10
Ankerite	gcmin:ankerite	05.AB.10
Ankinovichite	gcmin:ankinovichite	08.FE.05
Annabergite	gcmin:annabergite	08.CE.40
Annite	gcmin:annite	09.EC.20
Annivite	gcmin:annivite	
Anorpiment	gcmin:anorpiment	02.FA
Anorthite	gcmin:anorthite	09.FA.35
Anorthoclase	gcmin:anorthoclase	
Anorthominasragrite	gcmin:anorthominasragrite	07.DB.20
