s	label	mindatid	mindatLongid	strunz10.1	strunz10.2	strunz10.3	parent	skos:broader	
gsmin:sundiusite	Sundiusite	3828	1:1:3828:3	7	BD	70	s07_BD	gkosg:s07_BD	gsmin:sundiusite  gsmin:mindaturi  <https://www.mindat.org/1:1:3828:3> .
gsmin:cobaltkieserite	Cobaltkieserite	26414	1:1:26414:5	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:cobaltkieserite  gsmin:mindaturi  <https://www.mindat.org/1:1:26414:5> .
gsmin:dwornikite	Dwornikite	1336	1:1:1336:5	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:dwornikite  gsmin:mindaturi  <https://www.mindat.org/1:1:1336:5> .
gsmin:gunningite	Gunningite	1778	1:1:1778:3	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:gunningite  gsmin:mindaturi  <https://www.mindat.org/1:1:1778:3> .
gsmin:kieserite	Kieserite	2204	1:1:2204:6	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:kieserite  gsmin:mindaturi  <https://www.mindat.org/1:1:2204:6> .
gsmin:poitevinite	Poitevinite	3249	1:1:3249:6	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:poitevinite  gsmin:mindaturi  <https://www.mindat.org/1:1:3249:6> .
gsmin:szmikite	Szmikite	3858	1:1:3858:0	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:szmikite  gsmin:mindaturi  <https://www.mindat.org/1:1:3858:0> .
gsmin:szomolnokite	Szomolnokite	3859	1:1:3859:7	7	CB	5	s07_CB	gkosg:s07_CB	gsmin:szomolnokite  gsmin:mindaturi  <https://www.mindat.org/1:1:3859:7> .
gsmin:sanderite	Sanderite	3519	1:1:3519:0	7	CB	7	s07_CB	gkosg:s07_CB	gsmin:sanderite  gsmin:mindaturi  <https://www.mindat.org/1:1:3519:0> .
gsmin:bonattite	Bonattite	718	1:1:718:8	7	CB	10	s07_CB	gkosg:s07_CB	gsmin:bonattite  gsmin:mindaturi  <https://www.mindat.org/1:1:718:8> .
gsmin:aplowite	Aplowite	282	1:1:282:8	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:aplowite  gsmin:mindaturi  <https://www.mindat.org/1:1:282:8> .
gsmin:boyleite	Boyleite	746	1:1:746:1	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:boyleite  gsmin:mindaturi  <https://www.mindat.org/1:1:746:1> .
gsmin:cranswickite	Cranswickite	40267	1:1:40267:5	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:cranswickite  gsmin:mindaturi  <https://www.mindat.org/1:1:40267:5> .
gsmin:drobecite	Drobecite	26376	1:1:26376:6	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:drobecite  gsmin:mindaturi  <https://www.mindat.org/1:1:26376:6> .
gsmin:ilesite	Ilesite	2009	1:1:2009:7	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:ilesite  gsmin:mindaturi  <https://www.mindat.org/1:1:2009:7> .
gsmin:rozenite	Rozenite	3469	1:1:3469:8	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:rozenite  gsmin:mindaturi  <https://www.mindat.org/1:1:3469:8> .
gsmin:starkeyite	Starkeyite	3752	1:1:3752:1	7	CB	15	s07_CB	gkosg:s07_CB	gsmin:starkeyite  gsmin:mindaturi  <https://www.mindat.org/1:1:3752:1> .
gsmin:chalcanthite	Chalcanthite	959	1:1:959:3	7	CB	20	s07_CB	gkosg:s07_CB	gsmin:chalcanthite  gsmin:mindaturi  <https://www.mindat.org/1:1:959:3> .
gsmin:jokokuite	Jôkokuite	2109	1:1:2109:4	7	CB	20	s07_CB	gkosg:s07_CB	gsmin:jokokuite  gsmin:mindaturi  <https://www.mindat.org/1:1:2109:4> .
gsmin:pentahydrite	Pentahydrite	3153	1:1:3153:6	7	CB	20	s07_CB	gkosg:s07_CB	gsmin:pentahydrite  gsmin:mindaturi  <https://www.mindat.org/1:1:3153:6> .
gsmin:bianchite	Bianchite	660	1:1:660:2	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:bianchite  gsmin:mindaturi  <https://www.mindat.org/1:1:660:2> .
gsmin:chvaleticeite	Chvaleticeite	1049	1:1:1049:4	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:chvaleticeite  gsmin:mindaturi  <https://www.mindat.org/1:1:1049:4> .
gsmin:ferrohexahydrite	Ferrohexahydrite	1517	1:1:1517:8	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:ferrohexahydrite  gsmin:mindaturi  <https://www.mindat.org/1:1:1517:8> .
gsmin:hexahydrite	Hexahydrite	1891	1:1:1891:9	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:hexahydrite  gsmin:mindaturi  <https://www.mindat.org/1:1:1891:9> .
gsmin:moorhouseite	Moorhouseite	2776	1:1:2776:8	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:moorhouseite  gsmin:mindaturi  <https://www.mindat.org/1:1:2776:8> .
gsmin:nickelhexahydrite	Nickelhexahydrite	2889	1:1:2889:5	7	CB	25	s07_CB	gkosg:s07_CB	gsmin:nickelhexahydrite  gsmin:mindaturi  <https://www.mindat.org/1:1:2889:5> .
gsmin:retgersite	Retgersite	3489	1:1:3489:6	7	CB	30	s07_CB	gkosg:s07_CB	gsmin:retgersite  gsmin:mindaturi  <https://www.mindat.org/1:1:3489:6> .
gsmin:alpersite	Alpersite	27526	1:1:27526:6	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:alpersite  gsmin:mindaturi  <https://www.mindat.org/1:1:27526:6> .
gsmin:bieberite	Bieberite	664	1:1:664:8	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:bieberite  gsmin:mindaturi  <https://www.mindat.org/1:1:664:8> .
gsmin:boothite	Boothite	720	1:1:720:3	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:boothite  gsmin:mindaturi  <https://www.mindat.org/1:1:720:3> .
gsmin:mallardite	Mallardite	2555	1:1:2555:9	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:mallardite  gsmin:mindaturi  <https://www.mindat.org/1:1:2555:9> .
gsmin:melanterite	Melanterite	2633	1:1:2633:4	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:melanterite  gsmin:mindaturi  <https://www.mindat.org/1:1:2633:4> .
gsmin:zincmelanterite	Zincmelanterite	4406	1:1:4406:2	7	CB	35	s07_CB	gkosg:s07_CB	gsmin:zincmelanterite  gsmin:mindaturi  <https://www.mindat.org/1:1:4406:2> .
gsmin:epsomite	Epsomite	1393	1:1:1393:8	7	CB	40	s07_CB	gkosg:s07_CB	gsmin:epsomite  gsmin:mindaturi  <https://www.mindat.org/1:1:1393:8> .
gsmin:goslarite	Goslarite	1731	1:1:1731:8	7	CB	40	s07_CB	gkosg:s07_CB	gsmin:goslarite  gsmin:mindaturi  <https://www.mindat.org/1:1:1731:8> .
gsmin:morenosite	Morenosite	2782	1:1:2782:9	7	CB	40	s07_CB	gkosg:s07_CB	gsmin:morenosite  gsmin:mindaturi  <https://www.mindat.org/1:1:2782:9> .
gsmin:alunogen	Alunogen	162	1:1:162:5	7	CB	45	s07_CB	gkosg:s07_CB	gsmin:alunogen  gsmin:mindaturi  <https://www.mindat.org/1:1:162:5> .
gsmin:meta-alunogen	Meta-alunogen	2660	1:1:2660:0	7	CB	45	s07_CB	gkosg:s07_CB	gsmin:meta-alunogen  gsmin:mindaturi  <https://www.mindat.org/1:1:2660:0> .
gsmin:aluminocoquimbite	Aluminocoquimbite	40001	1:1:40001:1	7	CB	50	s07_CB	gkosg:s07_CB	gsmin:aluminocoquimbite  gsmin:mindaturi  <https://www.mindat.org/1:1:40001:1> .
gsmin:coquimbite	Coquimbite	1126	1:1:1126:2	7	CB	55	s07_CB	gkosg:s07_CB	gsmin:coquimbite  gsmin:mindaturi  <https://www.mindat.org/1:1:1126:2> .
gsmin:paracoquimbite	Paracoquimbite	3084	1:1:3084:3	7	CB	55	s07_CB	gkosg:s07_CB	gsmin:paracoquimbite  gsmin:mindaturi  <https://www.mindat.org/1:1:3084:3> .
gsmin:rhomboclase	Rhomboclase	3410	1:1:3410:0	7	CB	55	s07_CB	gkosg:s07_CB	gsmin:rhomboclase  gsmin:mindaturi  <https://www.mindat.org/1:1:3410:0> .
gsmin:kornelite	Kornelite	2253	1:1:2253:4	7	CB	60	s07_CB	gkosg:s07_CB	gsmin:kornelite  gsmin:mindaturi  <https://www.mindat.org/1:1:2253:4> .
gsmin:quenstedtite	Quenstedtite	3341	1:1:3341:7	7	CB	65	s07_CB	gkosg:s07_CB	gsmin:quenstedtite  gsmin:mindaturi  <https://www.mindat.org/1:1:3341:7> .
gsmin:lausenite	Lausenite	2345	1:1:2345:6	7	CB	70	s07_CB	gkosg:s07_CB	gsmin:lausenite  gsmin:mindaturi  <https://www.mindat.org/1:1:2345:6> .
gsmin:lishizhenite	Lishizhenite	2415	1:1:2415:6	7	CB	75	s07_CB	gkosg:s07_CB	gsmin:lishizhenite  gsmin:mindaturi  <https://www.mindat.org/1:1:2415:6> .
gsmin:romerite	Römerite	3428	1:1:3428:5	7	CB	75	s07_CB	gkosg:s07_CB	gsmin:romerite  gsmin:mindaturi  <https://www.mindat.org/1:1:3428:5> .
gsmin:ransomite	Ransomite	3364	1:1:3364:6	7	CB	80	s07_CB	gkosg:s07_CB	gsmin:ransomite  gsmin:mindaturi  <https://www.mindat.org/1:1:3364:6> .
gsmin:apjohnite	Apjohnite	281	1:1:281:9	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:apjohnite  gsmin:mindaturi  <https://www.mindat.org/1:1:281:9> .
gsmin:bilinite	Bílinite	673	1:1:673:6	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:bilinite  gsmin:mindaturi  <https://www.mindat.org/1:1:673:6> .
gsmin:dietrichite	Dietrichite	1289	1:1:1289:4	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:dietrichite  gsmin:mindaturi  <https://www.mindat.org/1:1:1289:4> .
gsmin:halotrichite	Halotrichite	1809	1:1:1809:4	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:halotrichite  gsmin:mindaturi  <https://www.mindat.org/1:1:1809:4> .
gsmin:pickeringite	Pickeringite	3204	1:1:3204:5	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:pickeringite  gsmin:mindaturi  <https://www.mindat.org/1:1:3204:5> .
gsmin:redingtonite	Redingtonite	3379	1:1:3379:0	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:redingtonite  gsmin:mindaturi  <https://www.mindat.org/1:1:3379:0> .
gsmin:wupatkiite	Wupatkiite	7372	1:1:7372:7	7	CB	85	s07_CB	gkosg:s07_CB	gsmin:wupatkiite  gsmin:mindaturi  <https://www.mindat.org/1:1:7372:7> .
gsmin:meridianiite	Meridianiite	31726	1:1:31726:1	7	CB	90	s07_CB	gkosg:s07_CB	gsmin:meridianiite  gsmin:mindaturi  <https://www.mindat.org/1:1:31726:1> .
gsmin:krausite	Krausite	2270	1:1:2270:1	7	CC	5	s07_CC	gkosg:s07_CC	gsmin:krausite  gsmin:mindaturi  <https://www.mindat.org/1:1:2270:1> .
gsmin:tamarugite	Tamarugite	3878	1:1:3878:8	7	CC	10	s07_CC	gkosg:s07_CC	gsmin:tamarugite  gsmin:mindaturi  <https://www.mindat.org/1:1:3878:8> .
gsmin:kalinite	Kalinite	2137	1:1:2137:7	7	CC	15	s07_CC	gkosg:s07_CC	gsmin:kalinite  gsmin:mindaturi  <https://www.mindat.org/1:1:2137:7> .
gsmin:mendozite	Mendozite	2643	1:1:2643:3	7	CC	15	s07_CC	gkosg:s07_CC	gsmin:mendozite  gsmin:mindaturi  <https://www.mindat.org/1:1:2643:3> .
gsmin:alum-k	Alum-(K)	3267	1:1:3267:0	7	CC	20	s07_CC	gkosg:s07_CC	gsmin:alum-k  gsmin:mindaturi  <https://www.mindat.org/1:1:3267:0> .
gsmin:alum-na	Alum-(Na)	3703	1:1:3703:3	7	CC	20	s07_CC	gkosg:s07_CC	gsmin:alum-na  gsmin:mindaturi  <https://www.mindat.org/1:1:3703:3> .
gsmin:lanmuchangite	Lanmuchangite	11003	1:1:11003:9	7	CC	20	s07_CC	gkosg:s07_CC	gsmin:lanmuchangite  gsmin:mindaturi  <https://www.mindat.org/1:1:11003:9> .
gsmin:lonecreekite	Lonecreekite	2430	1:1:2430:9	7	CC	20	s07_CC	gkosg:s07_CC	gsmin:lonecreekite  gsmin:mindaturi  <https://www.mindat.org/1:1:2430:9> .
gsmin:tschermigite	Tschermigite	4036	1:1:4036:1	7	CC	20	s07_CC	gkosg:s07_CC	gsmin:tschermigite  gsmin:mindaturi  <https://www.mindat.org/1:1:4036:1> .
gsmin:ammoniomagnesiovoltaite	Ammoniomagnesiovoltaite	39666	1:1:39666:6	7	CC	25	s07_CC	gkosg:s07_CC	gsmin:ammoniomagnesiovoltaite  gsmin:mindaturi  <https://www.mindat.org/1:1:39666:6> .
gsmin:pertlikite	Pertlikite	36064	1:1:36064:3	7	CC	25	s07_CC	gkosg:s07_CC	gsmin:pertlikite  gsmin:mindaturi  <https://www.mindat.org/1:1:36064:3> .
gsmin:voltaite	Voltaite	4203	1:1:4203:7	7	CC	25	s07_CC	gkosg:s07_CC	gsmin:voltaite  gsmin:mindaturi  <https://www.mindat.org/1:1:4203:7> .
gsmin:zincovoltaite	Zincovoltaite	4438	1:1:4438:3	7	CC	25	s07_CC	gkosg:s07_CC	gsmin:zincovoltaite  gsmin:mindaturi  <https://www.mindat.org/1:1:4438:3> .
gsmin:krohnkite	Kröhnkite	2277	1:1:2277:0	7	CC	30	s07_CC	gkosg:s07_CC	gsmin:krohnkite  gsmin:mindaturi  <https://www.mindat.org/1:1:2277:0> .
gsmin:ferrinatrite	Ferrinatrite	1497	1:1:1497:3	7	CC	35	s07_CC	gkosg:s07_CC	gsmin:ferrinatrite  gsmin:mindaturi  <https://www.mindat.org/1:1:1497:3> .
gsmin:goldichite	Goldichite	1722	1:1:1722:6	7	CC	40	s07_CC	gkosg:s07_CC	gsmin:goldichite  gsmin:mindaturi  <https://www.mindat.org/1:1:1722:6> .
gsmin:loweite	Löweite	2463	1:1:2463:7	7	CC	45	s07_CC	gkosg:s07_CC	gsmin:loweite  gsmin:mindaturi  <https://www.mindat.org/1:1:2463:7> .
gsmin:changoite	Changoite	6861	1:1:6861:7	7	CC	50	s07_CC	gkosg:s07_CC	gsmin:changoite  gsmin:mindaturi  <https://www.mindat.org/1:1:6861:7> .
gsmin:nickelblodite	Nickelblödite	2890	1:1:2890:1	7	CC	50	s07_CC	gkosg:s07_CC	gsmin:nickelblodite  gsmin:mindaturi  <https://www.mindat.org/1:1:2890:1> .
gsmin:leonite	Leonite	2377	1:1:2377:7	7	CC	55	s07_CC	gkosg:s07_CC	gsmin:leonite  gsmin:mindaturi  <https://www.mindat.org/1:1:2377:7> .
gsmin:mereiterite	Mereiterite	2649	1:1:2649:5	7	CC	55	s07_CC	gkosg:s07_CC	gsmin:mereiterite  gsmin:mindaturi  <https://www.mindat.org/1:1:2649:5> .
gsmin:boussingaultite	Boussingaultite	743	1:1:743:4	7	CC	60	s07_CC	gkosg:s07_CC	gsmin:boussingaultite  gsmin:mindaturi  <https://www.mindat.org/1:1:743:4> .
gsmin:cyanochroite	Cyanochroite	1200	1:1:1200:9	7	CC	60	s07_CC	gkosg:s07_CC	gsmin:cyanochroite  gsmin:mindaturi  <https://www.mindat.org/1:1:1200:9> .
gsmin:mohrite	Mohrite	2742	1:1:2742:3	7	CC	60	s07_CC	gkosg:s07_CC	gsmin:mohrite  gsmin:mindaturi  <https://www.mindat.org/1:1:2742:3> .
gsmin:nickelboussingaultite	Nickelboussingaultite	2896	1:1:2896:3	7	CC	60	s07_CC	gkosg:s07_CC	gsmin:nickelboussingaultite  gsmin:mindaturi  <https://www.mindat.org/1:1:2896:3> .
gsmin:picromerite	Picromerite	3206	1:1:3206:9	7	CC	60	s07_CC	gkosg:s07_CC	gsmin:picromerite  gsmin:mindaturi  <https://www.mindat.org/1:1:3206:9> .
gsmin:polyhalite	Polyhalite	3259	1:1:3259:5	7	CC	65	s07_CC	gkosg:s07_CC	gsmin:polyhalite  gsmin:mindaturi  <https://www.mindat.org/1:1:3259:5> .
gsmin:leightonite	Leightonite	2369	1:1:2369:2	7	CC	70	s07_CC	gkosg:s07_CC	gsmin:leightonite  gsmin:mindaturi  <https://www.mindat.org/1:1:2369:2> .
gsmin:amarillite	Amarillite	183	1:1:183:8	7	CC	75	s07_CC	gkosg:s07_CC	gsmin:amarillite  gsmin:mindaturi  <https://www.mindat.org/1:1:183:8> .
gsmin:konyaite	Konyaite	2251	1:1:2251:0	7	CC	80	s07_CC	gkosg:s07_CC	gsmin:konyaite  gsmin:mindaturi  <https://www.mindat.org/1:1:2251:0> .
gsmin:wattevilleite	Wattevilleite	4249	1:1:4249:5	7	CC	85	s07_CC	gkosg:s07_CC	gsmin:wattevilleite  gsmin:mindaturi  <https://www.mindat.org/1:1:4249:5> .
gsmin:chromschieffelinite	Chromschieffelinite	41959	1:1:41959:6	7	CD	??	s07_CD	gkosg:s07_CD	gsmin:chromschieffelinite  gsmin:mindaturi  <https://www.mindat.org/1:1:41959:6> .
gsmin:matteuccite	Matteuccite	2596	1:1:2596:2	7	CD	5	s07_CD	gkosg:s07_CD	gsmin:matteuccite  gsmin:mindaturi  <https://www.mindat.org/1:1:2596:2> .
gsmin:mirabilite	Mirabilite	2725	1:1:2725:6	7	CD	10	s07_CD	gkosg:s07_CD	gsmin:mirabilite  gsmin:mindaturi  <https://www.mindat.org/1:1:2725:6> .
gsmin:lecontite	Lecontite	2364	1:1:2364:7	7	CD	15	s07_CD	gkosg:s07_CD	gsmin:lecontite  gsmin:mindaturi  <https://www.mindat.org/1:1:2364:7> .
gsmin:hydroglauberite	Hydroglauberite	1973	1:1:1973:2	7	CD	20	s07_CD	gkosg:s07_CD	gsmin:hydroglauberite  gsmin:mindaturi  <https://www.mindat.org/1:1:1973:2> .
gsmin:eugsterite	Eugsterite	1423	1:1:1423:2	7	CD	25	s07_CD	gkosg:s07_CD	gsmin:eugsterite  gsmin:mindaturi  <https://www.mindat.org/1:1:1423:2> .
gsmin:gorgeyite	Görgeyite	1748	1:1:1748:6	7	CD	30	s07_CD	gkosg:s07_CD	gsmin:gorgeyite  gsmin:mindaturi  <https://www.mindat.org/1:1:1748:6> .
gsmin:koktaite	Koktaite	2237	1:1:2237:4	7	CD	35	s07_CD	gkosg:s07_CD	gsmin:koktaite  gsmin:mindaturi  <https://www.mindat.org/1:1:2237:4> .
gsmin:syngenite	Syngenite	3856	1:1:3856:6	7	CD	35	s07_CD	gkosg:s07_CD	gsmin:syngenite  gsmin:mindaturi  <https://www.mindat.org/1:1:3856:6> .
gsmin:gypsum	Gypsum	1784	1:1:1784:4	7	CD	40	s07_CD	gkosg:s07_CD	gsmin:gypsum  gsmin:mindaturi  <https://www.mindat.org/1:1:1784:4> .
gsmin:bassanite	Bassanite	557	1:1:557:9	7	CD	45	s07_CD	gkosg:s07_CD	gsmin:bassanite  gsmin:mindaturi  <https://www.mindat.org/1:1:557:9> .
gsmin:zircosulfate	Zircosulfate	4424	1:1:4424:6	7	CD	50	s07_CD	gkosg:s07_CD	gsmin:zircosulfate  gsmin:mindaturi  <https://www.mindat.org/1:1:4424:6> .
gsmin:schieffelinite	Schieffelinite	3566	1:1:3566:4	7	CD	55	s07_CD	gkosg:s07_CD	gsmin:schieffelinite  gsmin:mindaturi  <https://www.mindat.org/1:1:3566:4> .
gsmin:montanite	Montanite	2760	1:1:2760:7	7	CD	60	s07_CD	gkosg:s07_CD	gsmin:montanite  gsmin:mindaturi  <https://www.mindat.org/1:1:2760:7> .
gsmin:omongwaite	Omongwaite	38831	1:1:38831:1	7	CD	65	s07_CD	gkosg:s07_CD	gsmin:omongwaite  gsmin:mindaturi  <https://www.mindat.org/1:1:38831:1> .
gsmin:aubertite	Aubertite	416	1:1:416:3	7	DB	5	s07_DB	gkosg:s07_DB	gsmin:aubertite  gsmin:mindaturi  <https://www.mindat.org/1:1:416:3> .
gsmin:magnesioaubertite	Magnesioaubertite	2521	1:1:2521:4	7	DB	5	s07_DB	gkosg:s07_DB	gsmin:magnesioaubertite  gsmin:mindaturi  <https://www.mindat.org/1:1:2521:4> .
gsmin:svyazhinite	Svyazhinite	3841	1:1:3841:2	7	DB	5	s07_DB	gkosg:s07_DB	gsmin:svyazhinite  gsmin:mindaturi  <https://www.mindat.org/1:1:3841:2> .
gsmin:khademite	Khademite	2193	1:1:2193:3	7	DB	10	s07_DB	gkosg:s07_DB	gsmin:khademite  gsmin:mindaturi  <https://www.mindat.org/1:1:2193:3> .
gsmin:rostite	Rostite	3461	1:1:3461:2	7	DB	10	s07_DB	gkosg:s07_DB	gsmin:rostite  gsmin:mindaturi  <https://www.mindat.org/1:1:3461:2> .
gsmin:jurbanite	Jurbanite	2125	1:1:2125:4	7	DB	15	s07_DB	gkosg:s07_DB	gsmin:jurbanite  gsmin:mindaturi  <https://www.mindat.org/1:1:2125:4> .
gsmin:anorthominasragrite	Anorthominasragrite	25587	1:1:25587:3	7	DB	20	s07_DB	gkosg:s07_DB	gsmin:anorthominasragrite  gsmin:mindaturi  <https://www.mindat.org/1:1:25587:3> .
gsmin:minasragrite	Minasragrite	2717	1:1:2717:1	7	DB	20	s07_DB	gkosg:s07_DB	gsmin:minasragrite  gsmin:mindaturi  <https://www.mindat.org/1:1:2717:1> .
gsmin:orthominasragrite	Orthominasragrite	11007	1:1:11007:5	7	DB	20	s07_DB	gkosg:s07_DB	gsmin:orthominasragrite  gsmin:mindaturi  <https://www.mindat.org/1:1:11007:5> .
gsmin:bobjonesite	Bobjonesite	11455	1:1:11455:8	7	DB	25	s07_DB	gkosg:s07_DB	gsmin:bobjonesite  gsmin:mindaturi  <https://www.mindat.org/1:1:11455:8> .
gsmin:amarantite	Amarantite	182	1:1:182:9	7	DB	30	s07_DB	gkosg:s07_DB	gsmin:amarantite  gsmin:mindaturi  <https://www.mindat.org/1:1:182:9> .
gsmin:hohmannite	Hohmannite	1918	1:1:1918:3	7	DB	30	s07_DB	gkosg:s07_DB	gsmin:hohmannite  gsmin:mindaturi  <https://www.mindat.org/1:1:1918:3> .
gsmin:metahohmannite	Metahohmannite	2675	1:1:2675:4	7	DB	30	s07_DB	gkosg:s07_DB	gsmin:metahohmannite  gsmin:mindaturi  <https://www.mindat.org/1:1:2675:4> .
gsmin:aluminocopiapite	Aluminocopiapite	87	1:1:87:7	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:aluminocopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:87:7> .
gsmin:calciocopiapite	Calciocopiapite	826	1:1:826:6	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:calciocopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:826:6> .
gsmin:copiapite	Copiapite	1124	1:1:1124:8	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:copiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:1124:8> .
gsmin:cuprocopiapite	Cuprocopiapite	1181	1:1:1181:1	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:cuprocopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:1181:1> .
gsmin:ferricopiapite	Ferricopiapite	1490	1:1:1490:4	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:ferricopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:1490:4> .
gsmin:magnesiocopiapite	Magnesiocopiapite	2486	1:1:2486:6	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:magnesiocopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:2486:6> .
gsmin:zincocopiapite	Zincocopiapite	4413	1:1:4413:0	7	DB	35	s07_DB	gkosg:s07_DB	gsmin:zincocopiapite  gsmin:mindaturi  <https://www.mindat.org/1:1:4413:0> .
gsmin:aluminite	Aluminite	154	1:1:154:6	7	DC	5	s07_DC	gkosg:s07_DC	gsmin:aluminite  gsmin:mindaturi  <https://www.mindat.org/1:1:154:6> .
gsmin:meta-aluminite	Meta-aluminite	2659	1:1:2659:4	7	DC	5	s07_DC	gkosg:s07_DC	gsmin:meta-aluminite  gsmin:mindaturi  <https://www.mindat.org/1:1:2659:4> .
gsmin:butlerite	Butlerite	810	1:1:810:5	7	DC	10	s07_DC	gkosg:s07_DC	gsmin:butlerite  gsmin:mindaturi  <https://www.mindat.org/1:1:810:5> .
gsmin:parabutlerite	Parabutlerite	3081	1:1:3081:2	7	DC	10	s07_DC	gkosg:s07_DC	gsmin:parabutlerite  gsmin:mindaturi  <https://www.mindat.org/1:1:3081:2> .
gsmin:fibroferrite	Fibroferrite	1544	1:1:1544:4	7	DC	15	s07_DC	gkosg:s07_DC	gsmin:fibroferrite  gsmin:mindaturi  <https://www.mindat.org/1:1:1544:4> .
gsmin:xitieshanite	Xitieshanite	4341	1:1:4341:6	7	DC	20	s07_DC	gkosg:s07_DC	gsmin:xitieshanite  gsmin:mindaturi  <https://www.mindat.org/1:1:4341:6> .
gsmin:botryogen	Botryogen	733	1:1:733:7	7	DC	25	s07_DC	gkosg:s07_DC	gsmin:botryogen  gsmin:mindaturi  <https://www.mindat.org/1:1:733:7> .
gsmin:chaidamuite	Chaidamuite	958	1:1:958:4	7	DC	30	s07_DC	gkosg:s07_DC	gsmin:chaidamuite  gsmin:mindaturi  <https://www.mindat.org/1:1:958:4> .
gsmin:guildite	Guildite	1770	1:1:1770:7	7	DC	30	s07_DC	gkosg:s07_DC	gsmin:guildite  gsmin:mindaturi  <https://www.mindat.org/1:1:1770:7> .
gsmin:felsobanyaite	Felsobányaite	1474	1:1:1474:4	7	DD	5	s07_DD	gkosg:s07_DD	gsmin:felsobanyaite  gsmin:mindaturi  <https://www.mindat.org/1:1:1474:4> .
gsmin:langite	Langite	2322	1:1:2322:7	7	DD	10	s07_DD	gkosg:s07_DD	gsmin:langite  gsmin:mindaturi  <https://www.mindat.org/1:1:2322:7> .
gsmin:posnjakite	Posnjakite	3265	1:1:3265:6	7	DD	10	s07_DD	gkosg:s07_DD	gsmin:posnjakite  gsmin:mindaturi  <https://www.mindat.org/1:1:3265:6> .
gsmin:wroewolfeite	Wroewolfeite	4315	1:1:4315:7	7	DD	10	s07_DD	gkosg:s07_DD	gsmin:wroewolfeite  gsmin:mindaturi  <https://www.mindat.org/1:1:4315:7> .
gsmin:spangolite	Spangolite	3721	1:1:3721:7	7	DD	15	s07_DD	gkosg:s07_DD	gsmin:spangolite  gsmin:mindaturi  <https://www.mindat.org/1:1:3721:7> .
gsmin:ktenasite	Ktenasite	2282	1:1:2282:4	7	DD	20	s07_DD	gkosg:s07_DD	gsmin:ktenasite  gsmin:mindaturi  <https://www.mindat.org/1:1:2282:4> .
gsmin:christelite	Christelite	6870	1:1:6870:9	7	DD	25	s07_DD	gkosg:s07_DD	gsmin:christelite  gsmin:mindaturi  <https://www.mindat.org/1:1:6870:9> .
gsmin:campigliaite	Campigliaite	876	1:1:876:1	7	DD	30	s07_DD	gkosg:s07_DD	gsmin:campigliaite  gsmin:mindaturi  <https://www.mindat.org/1:1:876:1> .
gsmin:devilline	Devilline	1270	1:1:1270:2	7	DD	30	s07_DD	gkosg:s07_DD	gsmin:devilline  gsmin:mindaturi  <https://www.mindat.org/1:1:1270:2> .
gsmin:edwardsite	Edwardsite	39682	1:1:39682:4	7	DD	30	s07_DD	gkosg:s07_DD	gsmin:edwardsite  gsmin:mindaturi  <https://www.mindat.org/1:1:39682:4> .
gsmin:niedermayrite	Niedermayrite	7192	1:1:7192:1	7	DD	30	s07_DD	gkosg:s07_DD	gsmin:niedermayrite  gsmin:mindaturi  <https://www.mindat.org/1:1:7192:1> .
